,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Tai Webster,27,3,5,0,1,0,0,0,2,1,2,1,4,3,6,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
1,Mika Vukona,25,2,6,0,0,5,6,5,10,2,3,0,2,4,9,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
2,Kirk Penney,23,1,7,0,4,4,5,0,2,3,1,0,3,2,6,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
3,Thomas Abercrombie,19,3,7,0,2,0,0,1,3,1,0,0,2,5,6,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
4,Rob Loe,9,0,1,0,0,0,0,1,2,0,0,0,0,2,0,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
6,Corey Webster,28,10,21,3,8,3,3,1,4,0,1,0,0,3,26,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
7,Isaac Fotu,25,4,7,2,3,1,3,0,1,1,0,0,1,4,11,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
8,Casey Frank,13,1,4,1,3,0,0,1,2,0,0,0,2,2,3,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
9,B.J. Anthony,12,2,3,0,0,0,0,0,1,1,0,0,0,1,4,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
10,Everard Bartlett,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
11,Jarrod Kenny,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
12,Lindsay Tait,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
13,Totals,,26,62,6,22,13,17,9,28,12,7,1,14,28,71,new zealand,2014-09-07,lithuania,2014090767,Round of 16,201467
0,Renaldas Seibutis,34,4,13,0,4,1,1,0,0,5,0,0,2,2,9,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
1,Jonas Valanciunas,27,8,11,0,0,6,6,5,13,0,0,3,0,1,22,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
2,Donatas Motiejunas,21,2,7,0,3,4,6,3,8,0,2,0,1,1,8,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
3,Adas Juskevicius,20,1,4,0,2,0,0,0,0,3,0,0,0,1,2,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
4,Jonas Maciulis,11,1,5,1,3,2,4,0,0,0,1,0,1,2,5,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
6,Martynas Pocius,24,3,7,2,5,3,6,1,3,1,1,0,1,3,11,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
7,Simas Jasaitis,16,0,1,0,0,0,0,0,1,0,0,0,1,2,0,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
8,Darjus Lavrinovic,13,3,4,2,2,2,2,0,2,0,0,0,1,4,10,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
9,Mindaugas Kuzminskas,10,1,2,0,1,0,1,0,0,0,1,0,1,2,2,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
10,Paulius Jankunas,10,1,3,0,1,0,0,0,1,0,1,0,1,1,2,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
11,Ksistof Lavrinovic,9,0,1,0,0,2,2,0,1,1,0,0,0,0,2,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
12,Sarunas Vasiliauskas,5,1,2,1,2,0,0,0,0,3,0,0,1,1,3,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
13,Totals,,25,60,6,23,20,28,9,29,13,6,3,10,20,76,lithuania,2014-09-07,new zealand,2014090767,Round of 16,201467
