,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Milos Teodosic,33,4,10,2,6,3,3,0,2,5,1,0,3,2,13,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
1,Nemanja Bjelica,31,3,6,0,0,2,2,2,10,2,2,0,0,4,8,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
2,Miroslav Raduljica,25,7,12,0,0,2,3,1,6,1,0,0,1,4,16,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
3,Nikola Kalinic,21,4,6,1,1,3,4,1,4,2,1,0,1,1,12,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
4,Stefan Markovic,20,1,4,1,2,0,0,1,2,2,1,0,2,3,3,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
6,Bogdan Bogdanovic,27,7,11,4,7,3,4,0,1,2,0,0,2,1,21,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
7,Stefan Jovic,20,1,1,0,0,0,0,0,1,1,1,0,1,3,2,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
8,Nenad Krstic,15,3,6,0,0,4,4,0,0,1,0,0,0,0,10,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
9,Stefan Bircevic,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
10,Marko Simonovic,4,2,2,1,1,0,0,0,0,0,0,0,0,2,5,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
11,Vladimir Stimac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
12,Totals,,32,59,9,17,17,20,5,27,17,6,0,10,22,90,serbia,2014-09-07,greece,2014090766,Round of 16,201466,fiba-world-cup
0,Ioannis Bourousis,29,3,6,1,2,2,2,1,5,2,2,0,3,5,9,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
1,Nikos Zisis,29,4,9,3,4,1,2,0,0,3,0,0,0,2,12,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
2,Nick Calathes,26,6,13,2,5,0,0,1,5,2,2,0,2,3,14,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
3,Giorgos Printezis,24,4,9,0,1,4,4,1,4,5,2,0,0,2,12,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
4,Kostas Papanikolaou,16,0,3,0,3,1,2,0,2,0,2,1,2,3,1,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
6,Kostas Kaimakoglou,23,2,4,0,2,2,2,1,6,1,0,0,2,0,6,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
7,Kostas Vasileiadis,17,1,3,1,3,3,4,0,0,2,0,0,0,2,6,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
8,Giannis Antetokounmpo,14,3,3,1,1,0,0,0,2,0,0,1,4,4,7,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
9,Vangelis Mantzaris,11,1,2,1,2,2,2,0,0,1,0,0,0,1,5,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
10,Kostas Sloukas,7,0,2,0,1,0,0,1,1,0,0,0,0,0,0,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
11,Ian Vouyoukas,3,0,1,0,0,0,0,0,0,0,0,0,1,3,0,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
12,Andreas Glyniadakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
13,Totals,,24,55,9,24,15,18,5,25,16,8,2,14,25,72,greece,2014-09-07,serbia,2014090766,Round of 16,201466,fiba-world-cup
