,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Sinan Guler,35,7,13,0,1,2,2,0,4,2,1,0,3,2,16,turkey,2014-09-07,australia,2014090765,Round of 16,201465
1,Emir Preldzic,33,5,14,3,7,3,4,2,7,2,2,0,2,1,16,turkey,2014-09-07,australia,2014090765,Round of 16,201465
2,Omer Asik,28,1,1,0,0,2,3,1,3,0,1,2,2,3,4,turkey,2014-09-07,australia,2014090765,Round of 16,201465
3,Kerem Gonlum,26,2,5,0,0,0,0,0,6,0,0,0,1,3,4,turkey,2014-09-07,australia,2014090765,Round of 16,201465
4,Ender Arslan,25,4,12,3,9,0,1,1,2,2,0,0,0,3,11,turkey,2014-09-07,australia,2014090765,Round of 16,201465
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2014-09-07,australia,2014090765,Round of 16,201465
6,Cenk Akyol,18,2,4,1,2,2,2,0,0,0,0,0,0,2,7,turkey,2014-09-07,australia,2014090765,Round of 16,201465
7,Kerem Tunceri,14,2,4,2,3,0,0,0,1,3,0,0,0,2,6,turkey,2014-09-07,australia,2014090765,Round of 16,201465
8,Oguz Savas,7,0,4,0,0,1,2,1,2,0,2,1,1,1,1,turkey,2014-09-07,australia,2014090765,Round of 16,201465
9,Cedi Osman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,turkey,2014-09-07,australia,2014090765,Round of 16,201465
10,Furkan Aldemir,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,turkey,2014-09-07,australia,2014090765,Round of 16,201465
11,Baris Hersek,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,turkey,2014-09-07,australia,2014090765,Round of 16,201465
12,Baris Ermis,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,turkey,2014-09-07,australia,2014090765,Round of 16,201465
13,Totals,,23,57,9,22,10,14,6,26,9,7,3,10,18,65,turkey,2014-09-07,australia,2014090765,Round of 16,201465
0,Joe Ingles,35,4,5,1,1,1,3,1,6,3,1,0,4,1,10,australia,2014-09-07,turkey,2014090765,Round of 16,201465
1,Aron Baynes,31,7,15,0,0,1,3,3,7,2,0,2,1,3,15,australia,2014-09-07,turkey,2014090765,Round of 16,201465
2,Matthew Dellavedova,29,4,9,2,6,3,4,0,3,5,0,0,2,1,13,australia,2014-09-07,turkey,2014090765,Round of 16,201465
3,David Andersen,24,3,7,0,0,0,0,1,6,2,0,0,3,5,6,australia,2014-09-07,turkey,2014090765,Round of 16,201465
4,Ryan Broekhoff,18,2,5,1,3,0,0,0,4,0,0,0,2,4,5,australia,2014-09-07,turkey,2014090765,Round of 16,201465
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2014-09-07,turkey,2014090765,Round of 16,201465
6,Brad Newley,22,1,7,0,3,1,5,1,2,1,1,0,1,1,3,australia,2014-09-07,turkey,2014090765,Round of 16,201465
7,Cameron Bairstow,19,3,6,0,0,4,4,3,5,2,1,0,0,0,10,australia,2014-09-07,turkey,2014090765,Round of 16,201465
8,Dante Exum,10,0,1,0,1,0,0,0,2,0,0,0,0,2,0,australia,2014-09-07,turkey,2014090765,Round of 16,201465
9,Adam Gibson,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,australia,2014-09-07,turkey,2014090765,Round of 16,201465
10,Nathan Jawai,4,0,1,0,0,0,0,0,1,0,0,0,0,3,0,australia,2014-09-07,turkey,2014090765,Round of 16,201465
11,Brock Motum,2,1,1,0,0,0,0,1,2,0,0,0,0,1,2,australia,2014-09-07,turkey,2014090765,Round of 16,201465
12,Totals,,25,58,4,15,10,19,10,38,15,3,2,14,22,64,australia,2014-09-07,turkey,2014090765,Round of 16,201465
