,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nicolas Batum,32,2,8,0,4,5,6,2,4,1,0,1,1,3,9,france,2014-09-10,spain,2014091071,Quarterfinals,201471
1,Boris Diaw,30,6,12,3,7,0,2,2,5,3,1,0,4,2,15,france,2014-09-10,spain,2014091071,Quarterfinals,201471
2,Thomas Heurtel,23,4,7,1,3,4,4,0,3,4,0,0,1,2,13,france,2014-09-10,spain,2014091071,Quarterfinals,201471
3,Mickael Gelabale,22,3,6,1,4,2,2,0,3,0,0,0,3,4,9,france,2014-09-10,spain,2014091071,Quarterfinals,201471
4,Joffrey Lauvergne,17,1,3,1,1,1,2,3,10,0,0,0,1,1,4,france,2014-09-10,spain,2014091071,Quarterfinals,201471
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2014-09-10,spain,2014091071,Quarterfinals,201471
6,Rudy Gobert,23,2,4,0,0,1,2,4,13,0,1,1,2,4,5,france,2014-09-10,spain,2014091071,Quarterfinals,201471
7,Antoine Diot,23,2,7,0,1,0,0,1,2,4,2,0,0,2,4,france,2014-09-10,spain,2014091071,Quarterfinals,201471
8,Evan Fournier,17,1,6,0,4,2,2,0,2,2,0,0,0,1,4,france,2014-09-10,spain,2014091071,Quarterfinals,201471
9,Florent Pietrus,10,1,2,0,0,0,0,1,1,0,0,0,1,2,2,france,2014-09-10,spain,2014091071,Quarterfinals,201471
10,Edwin Jackson,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,france,2014-09-10,spain,2014091071,Quarterfinals,201471
11,Totals,,22,56,6,24,15,20,13,44,14,4,2,13,22,65,france,2014-09-10,spain,2014091071,Quarterfinals,201471
0,Pau Gasol,32,7,12,0,1,3,3,2,8,1,1,3,3,5,17,spain,2014-09-10,france,2014091071,Quarterfinals,201471
1,Marc Gasol,30,1,7,0,0,1,2,0,4,0,0,1,0,3,3,spain,2014-09-10,france,2014091071,Quarterfinals,201471
2,Ricky Rubio,27,1,7,0,1,2,2,1,2,1,3,0,1,4,4,spain,2014-09-10,france,2014091071,Quarterfinals,201471
3,Juan Carlos Navarro,26,4,11,1,5,1,2,1,1,1,0,0,1,2,10,spain,2014-09-10,france,2014091071,Quarterfinals,201471
4,Rudy Fernandez,25,2,6,0,3,2,2,1,1,3,1,0,0,0,6,spain,2014-09-10,france,2014091071,Quarterfinals,201471
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-09-10,france,2014091071,Quarterfinals,201471
6,Serge Ibaka,19,1,7,0,3,0,0,1,2,0,0,1,0,1,2,spain,2014-09-10,france,2014091071,Quarterfinals,201471
7,Sergio Llull,15,2,5,0,3,1,2,0,0,0,0,0,1,1,5,spain,2014-09-10,france,2014091071,Quarterfinals,201471
8,Jose Calderon,14,2,4,1,3,0,0,0,1,1,0,0,1,1,5,spain,2014-09-10,france,2014091071,Quarterfinals,201471
9,Sergio Rodriguez,13,0,3,0,3,0,0,0,0,2,0,0,1,1,0,spain,2014-09-10,france,2014091071,Quarterfinals,201471
10,Totals,,20,62,2,22,10,13,6,19,9,5,5,8,18,52,spain,2014-09-10,france,2014091071,Quarterfinals,201471
