,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nicolas Batum,37,11,17,8,12,5,6,1,2,3,1,0,2,1,35,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
1,Boris Diaw,32,5,9,3,5,0,0,2,10,5,0,0,3,4,13,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
2,Thomas Heurtel,25,3,9,1,4,5,6,0,2,6,0,0,3,1,12,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
3,Mickael Gelabale,23,1,5,0,2,0,0,0,2,1,0,0,0,3,2,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
4,Joffrey Lauvergne,8,2,4,0,0,0,0,1,2,0,0,0,0,1,4,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
6,Rudy Gobert,23,2,2,0,0,0,0,0,5,0,1,2,1,3,4,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
7,Antoine Diot,16,1,5,0,2,0,0,1,1,1,2,0,0,2,2,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
8,Evan Fournier,14,3,6,2,4,2,2,1,2,1,1,0,3,1,10,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
9,Florent Pietrus,13,0,1,0,1,0,0,1,2,0,1,0,0,4,0,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
10,Edwin Jackson,9,1,5,1,3,0,0,0,0,0,0,0,0,0,3,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
11,Totals,,29,63,15,33,12,14,7,28,17,6,2,12,20,85,france,2014-09-12,serbia,2014091273,Semifinals,201473,fiba-world-cup
0,Nemanja Bjelica,36,3,8,0,3,4,4,1,7,5,0,1,0,3,10,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
1,Milos Teodosic,33,9,12,5,7,1,2,0,3,3,1,0,2,3,24,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
2,Stefan Markovic,26,5,9,1,2,0,1,0,3,5,2,0,1,5,11,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
3,Miroslav Raduljica,23,4,7,0,0,3,4,1,4,0,0,1,1,2,11,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
4,Nikola Kalinic,23,3,5,0,0,2,4,0,2,1,1,0,3,2,8,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
6,Bogdan Bogdanovic,27,4,5,2,3,3,4,0,1,4,1,0,1,2,13,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
7,Nenad Krstic,16,4,9,0,0,3,4,0,3,0,0,0,0,0,11,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
8,Stefan Jovic,13,0,1,0,0,0,0,0,3,1,1,0,0,0,0,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
9,Stefan Bircevic,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
10,Marko Simonovic,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
11,Totals,,32,56,8,15,18,25,2,26,19,6,2,8,18,90,serbia,2014-09-12,france,2014091273,Semifinals,201473,fiba-world-cup
