,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Danilo Gallinari,23.0,5,6,4,5,2,2,0,3,4,2,0,0,0,16,italy,2019-08-31,philippines,201908314,First Round,20194
1,Jeff Brooks,23.0,3,5,1,2,1,1,2,4,1,2,2,0,3,8,italy,2019-08-31,philippines,201908314,First Round,20194
2,Paul Biligha,21.0,4,7,0,0,0,0,1,3,0,2,1,1,2,8,italy,2019-08-31,philippines,201908314,First Round,20194
3,Marco Belinelli,20.0,4,6,0,2,1,2,0,3,4,2,0,2,1,9,italy,2019-08-31,philippines,201908314,First Round,20194
4,Amedeo Della Valle,17.0,4,9,3,7,6,6,1,4,3,1,0,4,1,17,italy,2019-08-31,philippines,201908314,First Round,20194
5,Luigi Datome,16.0,7,7,3,3,0,0,0,3,2,1,0,1,0,17,italy,2019-08-31,philippines,201908314,First Round,20194
6,Alessandro Gentile,15.0,1,4,1,1,3,6,0,1,3,1,0,1,0,6,italy,2019-08-31,philippines,201908314,First Round,20194
7,Daniel Hackett,15.0,2,5,2,5,1,2,0,4,4,2,0,0,2,7,italy,2019-08-31,philippines,201908314,First Round,20194
8,Luca Vitali,14.0,1,3,0,2,0,0,0,0,5,0,0,0,1,2,italy,2019-08-31,philippines,201908314,First Round,20194
9,Amedeo Tessitori,13.0,4,7,0,0,1,2,4,8,1,0,0,1,4,9,italy,2019-08-31,philippines,201908314,First Round,20194
10,Awudu Abass,12.0,1,2,0,1,0,0,0,0,1,0,0,1,1,2,italy,2019-08-31,philippines,201908314,First Round,20194
11,Ariel Filloy,11.0,3,6,1,3,0,0,0,1,2,0,0,2,1,7,italy,2019-08-31,philippines,201908314,First Round,20194
12,Totals,,39,67,15,31,15,21,8,34,30,13,3,13,16,108,italy,2019-08-31,philippines,201908314,First Round,20194
0,Andray Blatche,31.0,6,13,1,5,2,2,3,10,2,2,0,9,4,15,philippines,2019-08-31,italy,201908314,First Round,20194
1,June Mar Fajardo,21.0,3,4,0,0,3,6,1,6,1,2,1,0,1,9,philippines,2019-08-31,italy,201908314,First Round,20194
2,Kiefer Ravena,19.0,2,9,1,5,0,0,0,2,0,0,0,3,2,5,philippines,2019-08-31,italy,201908314,First Round,20194
3,Japeth Aguilar,19.0,1,4,0,0,0,0,2,4,0,0,0,1,1,2,philippines,2019-08-31,italy,201908314,First Round,20194
4,Gabe Norwood,19.0,0,4,0,3,0,0,1,1,1,0,0,0,2,0,philippines,2019-08-31,italy,201908314,First Round,20194
5,Cj Perez,17.0,7,12,1,2,0,0,1,2,3,1,0,3,1,15,philippines,2019-08-31,italy,201908314,First Round,20194
6,Troy Rosario,16.0,1,2,0,1,0,0,1,2,1,0,0,0,3,2,philippines,2019-08-31,italy,201908314,First Round,20194
7,RR Pogoy,15.0,1,3,0,1,0,0,0,0,0,0,0,0,2,2,philippines,2019-08-31,italy,201908314,First Round,20194
8,Robert Bolick,15.0,1,5,0,2,4,4,2,2,1,0,0,2,1,6,philippines,2019-08-31,italy,201908314,First Round,20194
9,Paul Lee,13.0,1,4,0,3,0,0,0,1,1,0,0,1,2,2,philippines,2019-08-31,italy,201908314,First Round,20194
10,Raymond Almazan,9.0,1,2,0,0,0,0,0,1,0,0,0,1,1,2,philippines,2019-08-31,italy,201908314,First Round,20194
11,Mark Barroca,6.0,1,2,0,1,0,0,0,1,0,0,0,1,2,2,philippines,2019-08-31,italy,201908314,First Round,20194
12,Totals,,25,64,3,23,9,12,11,32,10,5,1,21,22,62,philippines,2019-08-31,italy,201908314,First Round,20194
