,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Josh Okogie,28.0,4,10,3,6,7,9,1,3,4,1,1,5,4,18,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
1,Jordan Nwora,27.0,4,10,2,5,0,0,0,4,2,1,0,3,4,10,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
2,Al-Farouq Aminu,26.0,2,4,0,0,6,8,0,5,1,2,0,3,2,10,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
3,Ike Iroegbu,23.0,4,9,0,2,4,4,0,0,1,1,0,4,4,12,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
4,Gabe Vincent,22.0,4,7,2,5,1,2,0,0,1,3,0,0,5,11,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
5,Chimezie Metu,21.0,3,8,0,2,4,4,1,6,1,0,1,0,2,10,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
6,Ben Uzoh,20.0,3,4,0,0,0,0,0,3,1,0,0,2,1,6,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
7,Ike Diogu,16.0,0,3,0,1,0,0,1,5,0,0,0,1,2,0,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
8,Ekpe Udoh,15.0,0,1,0,0,0,0,2,2,1,1,1,1,0,0,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
9,Stanley Okoye,3.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
10,Totals,,24,56,7,21,22,27,6,29,13,9,3,19,24,77,nigeria,2019-08-31,russia,201908316,First Round,20196,fiba-world-cup
0,Vitaly Fridzon,28.0,4,13,1,3,2,3,1,5,4,4,0,3,2,11,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
1,Mikhail Kulagin,27.0,4,14,4,9,4,4,0,3,1,0,0,2,1,16,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
2,Andrey Vorontsevich,25.0,5,8,2,3,2,2,1,2,3,1,0,2,5,14,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
3,Nikita Kurbanov,23.0,3,5,1,1,2,4,1,7,2,0,0,1,4,9,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
4,Andrey Zubkov,22.0,5,7,1,1,1,1,0,4,4,1,0,3,3,12,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
5,Vladimir Ivlev,18.0,1,1,0,0,0,0,0,2,0,3,0,0,3,2,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
6,Sergey Karasev,14.0,1,3,1,3,5,6,0,1,0,2,0,2,1,8,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
7,Evgeny Baburin,13.0,1,3,1,3,0,0,3,5,2,0,0,0,2,3,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
8,Semen Antonov,13.0,2,4,0,2,3,4,1,1,2,1,0,0,1,7,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
9,Grigory Motovilov,13.0,0,3,0,2,0,0,0,0,0,0,0,2,1,0,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
10,Evegeny Valiev,3.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
11,Andrei Sopin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
12,Totals,,26,61,11,27,19,24,7,30,20,12,0,15,24,82,russia,2019-08-31,nigeria,201908316,First Round,20196,fiba-world-cup
