,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nikola Jokic,22.0,4,5,3,3,3,4,1,5,6,0,0,4,2,14,serbia,2019-08-31,angola,201908310,First Round,20190
1,Vasilije Micic,21.0,3,5,0,0,2,2,1,2,6,1,0,2,1,8,serbia,2019-08-31,angola,201908310,First Round,20190
2,Stefan Jovic,20.0,2,4,0,2,1,2,0,4,9,1,0,0,1,5,serbia,2019-08-31,angola,201908310,First Round,20190
3,Stefan Bircevic,20.0,3,6,1,2,0,0,1,4,2,2,0,0,1,7,serbia,2019-08-31,angola,201908310,First Round,20190
4,Marko Guduric,20.0,3,4,3,4,0,0,0,1,3,1,0,2,0,9,serbia,2019-08-31,angola,201908310,First Round,20190
5,Bogdan Bogdanovic,20.0,8,10,5,7,3,3,0,2,3,0,0,1,0,24,serbia,2019-08-31,angola,201908310,First Round,20190
6,Marko Simonovic,19.0,2,2,1,1,0,0,0,3,1,0,0,1,1,5,serbia,2019-08-31,angola,201908310,First Round,20190
7,Boban Marjanovic,17.0,6,9,0,1,0,2,3,10,0,0,1,5,3,12,serbia,2019-08-31,angola,201908310,First Round,20190
8,Vladimir Lucic,17.0,1,2,0,0,5,5,1,2,0,0,0,0,2,7,serbia,2019-08-31,angola,201908310,First Round,20190
9,Nikola Milutinov,12.0,4,6,0,0,6,7,1,3,0,1,0,0,0,14,serbia,2019-08-31,angola,201908310,First Round,20190
10,Miroslav Raduljica,10.0,0,2,0,0,0,0,0,1,2,1,0,1,2,0,serbia,2019-08-31,angola,201908310,First Round,20190
11,Totals,,36,55,13,20,20,25,8,37,32,7,1,16,13,105,serbia,2019-08-31,angola,201908310,First Round,20190
0,Carlos Morais,29.0,6,10,3,6,0,0,1,2,1,0,0,2,1,15,angola,2019-08-31,serbia,201908310,First Round,20190
1,Gerson Domingos,29.0,1,9,0,5,4,4,0,2,0,0,0,3,1,6,angola,2019-08-31,serbia,201908310,First Round,20190
2,Reggie Moore,24.0,2,6,2,5,0,0,0,4,1,1,0,0,2,6,angola,2019-08-31,serbia,201908310,First Round,20190
3,Yanick Moreira,23.0,3,8,0,0,2,4,2,4,1,1,1,1,4,8,angola,2019-08-31,serbia,201908310,First Round,20190
4,Leonel Paulo,22.0,4,8,0,1,2,3,0,0,1,0,0,2,3,10,angola,2019-08-31,serbia,201908310,First Round,20190
5,Vander Joaquim,17.0,2,5,1,2,1,2,3,5,1,1,1,3,3,6,angola,2019-08-31,serbia,201908310,First Round,20190
6,Jose Antonio,15.0,2,3,2,3,0,0,0,0,0,1,1,0,2,6,angola,2019-08-31,serbia,201908310,First Round,20190
7,Gerson Lukeny Goncalves,13.0,0,4,0,2,0,0,0,0,1,1,0,3,2,0,angola,2019-08-31,serbia,201908310,First Round,20190
8,Divaldo Mbunga,11.0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,angola,2019-08-31,serbia,201908310,First Round,20190
9,Olimpio Cipriano,8.0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,angola,2019-08-31,serbia,201908310,First Round,20190
10,Eduardo Mingas,6.0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,angola,2019-08-31,serbia,201908310,First Round,20190
11,Leandro Jacques Conceicao,4.0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,angola,2019-08-31,serbia,201908310,First Round,20190
12,Totals,,21,59,8,26,9,13,6,18,7,5,3,16,24,59,angola,2019-08-31,serbia,201908310,First Round,20190
