,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Michael Roll,32.0,3,10,1,3,1,1,0,1,1,1,0,2,2,8,tunisia,2019-08-31,spain,201908317,First Round,20197
1,Salah Mejri,29.0,6,12,1,4,2,2,4,7,3,0,1,5,3,15,tunisia,2019-08-31,spain,201908317,First Round,20197
2,Omar Abada,29.0,1,4,0,2,0,0,0,2,6,2,0,3,3,2,tunisia,2019-08-31,spain,201908317,First Round,20197
3,Mohamed Hadidane,27.0,5,9,2,3,0,0,0,6,1,0,0,2,0,12,tunisia,2019-08-31,spain,201908317,First Round,20197
4,Ziyed Chennoufi,23.0,2,5,1,2,1,2,0,0,0,1,0,0,0,6,tunisia,2019-08-31,spain,201908317,First Round,20197
5,Mourad El Mabrouk,20.0,1,6,0,3,0,0,0,0,2,0,0,0,0,2,tunisia,2019-08-31,spain,201908317,First Round,20197
6,Makram Ben Romdhane,13.0,3,6,0,1,1,4,2,3,1,0,0,3,4,7,tunisia,2019-08-31,spain,201908317,First Round,20197
7,Nizar Knioua,11.0,2,3,2,3,0,0,0,0,1,1,0,1,1,6,tunisia,2019-08-31,spain,201908317,First Round,20197
8,Mokhtar Ghyaza,11.0,1,2,0,0,0,0,0,1,1,0,0,1,1,2,tunisia,2019-08-31,spain,201908317,First Round,20197
9,Radhouane Slimane,5.0,1,2,0,0,0,0,2,3,0,0,0,0,0,2,tunisia,2019-08-31,spain,201908317,First Round,20197
10,Totals,,25,59,7,21,5,9,8,23,16,5,1,17,14,62,tunisia,2019-08-31,spain,201908317,First Round,20197
0,Victor Claver,24.0,5,10,2,4,0,0,3,3,3,3,0,2,2,12,spain,2019-08-31,tunisia,201908317,First Round,20197
1,Marc Gasol,24.0,5,11,0,3,0,0,0,6,3,2,1,1,2,10,spain,2019-08-31,tunisia,201908317,First Round,20197
2,Ricky Rubio,22.0,6,11,3,7,2,2,0,1,9,2,0,1,3,17,spain,2019-08-31,tunisia,201908317,First Round,20197
3,Juan Hernangomez,19.0,4,4,1,1,4,4,1,8,0,1,0,0,2,13,spain,2019-08-31,tunisia,201908317,First Round,20197
4,Rudy Fernandez,18.0,2,4,2,3,1,2,0,0,2,1,0,0,0,7,spain,2019-08-31,tunisia,201908317,First Round,20197
5,Pau Ribas,18.0,4,5,4,5,0,0,0,0,0,0,0,0,1,12,spain,2019-08-31,tunisia,201908317,First Round,20197
6,Sergio Llull,17.0,5,7,4,6,2,2,0,0,5,0,0,2,2,16,spain,2019-08-31,tunisia,201908317,First Round,20197
7,Willy Hernangomez,16.0,4,6,0,0,0,0,1,7,5,1,0,1,3,8,spain,2019-08-31,tunisia,201908317,First Round,20197
8,Pierre Oriola,16.0,0,1,0,1,1,2,3,6,0,0,0,0,0,1,spain,2019-08-31,tunisia,201908317,First Round,20197
9,Xavi Rabaseda,10.0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,spain,2019-08-31,tunisia,201908317,First Round,20197
10,Quino Colom,9.0,1,2,1,2,0,0,0,0,2,0,0,0,0,3,spain,2019-08-31,tunisia,201908317,First Round,20197
11,Javier Beiran,8.0,1,2,0,1,0,0,1,3,0,0,0,0,0,2,spain,2019-08-31,tunisia,201908317,First Round,20197
12,Totals,,37,63,17,33,10,12,9,34,31,11,1,10,17,101,spain,2019-08-31,tunisia,201908317,First Round,20197
