,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nestor Colmenares,31.0,6,10,1,1,1,2,2,7,1,3,0,0,4,14,venezuela,2019-08-31,poland,201908315,First Round,20195
1,Miguel Ruiz,25.0,2,4,0,0,1,1,4,10,0,2,0,1,5,5,venezuela,2019-08-31,poland,201908315,First Round,20195
2,Heissler Guillent,25.0,2,7,1,4,0,0,1,3,8,2,0,1,1,5,venezuela,2019-08-31,poland,201908315,First Round,20195
3,Jhornan Jose Zamora,23.0,2,8,1,6,0,0,0,1,1,0,0,0,3,5,venezuela,2019-08-31,poland,201908315,First Round,20195
4,Pedro Chourio,22.0,6,12,3,9,0,0,1,4,0,0,0,1,1,15,venezuela,2019-08-31,poland,201908315,First Round,20195
5,Dwight Lewis,22.0,5,11,2,4,0,0,1,2,2,0,1,1,0,12,venezuela,2019-08-31,poland,201908315,First Round,20195
6,Gregory Vargas,15.0,2,6,0,2,1,2,1,1,1,0,0,1,0,5,venezuela,2019-08-31,poland,201908315,First Round,20195
7,Michael Carrera,15.0,1,4,0,1,3,4,3,3,1,1,0,3,2,5,venezuela,2019-08-31,poland,201908315,First Round,20195
8,Anthony Perez,10.0,0,5,0,3,1,2,1,2,0,0,0,1,2,1,venezuela,2019-08-31,poland,201908315,First Round,20195
9,Jose Vargas,8.0,1,2,0,1,0,0,0,0,1,0,0,1,3,2,venezuela,2019-08-31,poland,201908315,First Round,20195
10,Windi Graterol,2.0,0,1,0,0,0,0,2,2,0,0,0,0,2,0,venezuela,2019-08-31,poland,201908315,First Round,20195
11,Luis Bethelmy,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,venezuela,2019-08-31,poland,201908315,First Round,20195
12,Totals,,27,70,8,31,7,11,16,36,15,8,1,10,23,69,venezuela,2019-08-31,poland,201908315,First Round,20195
0,Adam Waczynski,34.0,3,6,2,4,5,5,0,3,3,0,1,3,3,13,poland,2019-08-31,venezuela,201908315,First Round,20195
1,A.J. Slaughter,30.0,3,8,1,3,0,0,1,4,5,1,0,0,1,7,poland,2019-08-31,venezuela,201908315,First Round,20195
2,Mateusz Ponitka,29.0,3,9,0,1,9,11,1,5,1,0,1,1,0,15,poland,2019-08-31,venezuela,201908315,First Round,20195
3,Aaron Cel,24.0,5,10,2,7,0,0,1,4,1,0,0,2,1,12,poland,2019-08-31,venezuela,201908315,First Round,20195
4,Adam Hrycaniuk,22.0,4,8,0,0,2,5,5,10,3,1,0,1,2,10,poland,2019-08-31,venezuela,201908315,First Round,20195
5,Michal Sokolowski,22.0,7,9,2,2,0,0,5,9,1,1,1,2,2,16,poland,2019-08-31,venezuela,201908315,First Round,20195
6,Damian Kulig,18.0,0,7,0,4,2,4,2,5,1,0,0,0,1,2,poland,2019-08-31,venezuela,201908315,First Round,20195
7,Lukasz Koszarek,14.0,1,3,0,2,0,0,1,1,2,0,0,1,3,2,poland,2019-08-31,venezuela,201908315,First Round,20195
8,Karol Gruszecki,5.0,1,2,1,1,0,0,0,0,0,0,0,0,0,3,poland,2019-08-31,venezuela,201908315,First Round,20195
9,Olek Balcerowski,4.0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,poland,2019-08-31,venezuela,201908315,First Round,20195
10,Totals,,27,64,8,26,18,25,16,41,17,3,3,10,14,80,poland,2019-08-31,venezuela,201908315,First Round,20195
