,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dennis Schroder,37.0,7,19,2,5,7,9,1,4,8,3,0,4,4,23,germany,2019-09-01,france,2019090111,First Round,201911
1,Johannes Voigtmann,28.0,8,10,5,7,4,5,1,3,4,1,0,2,3,25,germany,2019-09-01,france,2019090111,First Round,201911
2,Paul Zipser,26.0,1,6,0,0,0,0,1,4,0,0,1,0,1,2,germany,2019-09-01,france,2019090111,First Round,201911
3,Maxi Kleber,25.0,2,10,0,4,2,2,1,2,0,1,4,1,2,6,germany,2019-09-01,france,2019090111,First Round,201911
4,Maodo Lo,21.0,1,4,1,2,0,0,1,5,2,0,0,0,3,3,germany,2019-09-01,france,2019090111,First Round,201911
5,Danilo Barthel,15.0,1,1,0,0,0,0,0,3,1,2,0,0,0,2,germany,2019-09-01,france,2019090111,First Round,201911
6,Robin Benzing,15.0,3,10,2,4,0,0,1,1,0,0,0,0,1,8,germany,2019-09-01,france,2019090111,First Round,201911
7,Daniel Theis,12.0,1,5,0,0,1,1,3,8,0,1,0,1,4,3,germany,2019-09-01,france,2019090111,First Round,201911
8,Ismet Akpinar,11.0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,germany,2019-09-01,france,2019090111,First Round,201911
9,Andreas Obst,8.0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,germany,2019-09-01,france,2019090111,First Round,201911
10,Niels Giffey,3.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,germany,2019-09-01,france,2019090111,First Round,201911
11,Totals,,25,69,10,22,14,17,10,31,17,8,5,8,21,74,germany,2019-09-01,france,2019090111,First Round,201911
0,Nicolas Batum,34.0,1,4,0,3,0,0,0,5,3,0,2,0,0,2,france,2019-09-01,germany,2019090111,First Round,201911
1,Rudy Gobert,31.0,3,5,0,0,3,5,0,9,2,0,5,1,2,9,france,2019-09-01,germany,2019090111,First Round,201911
2,Evan Fournier,30.0,8,16,3,6,7,9,0,10,3,0,0,4,3,26,france,2019-09-01,germany,2019090111,First Round,201911
3,Andrew Albicy,27.0,0,2,0,2,0,0,0,1,5,2,0,3,3,0,france,2019-09-01,germany,2019090111,First Round,201911
4,Amath M'Baye,26.0,8,12,4,6,1,2,1,4,1,0,1,1,5,21,france,2019-09-01,germany,2019090111,First Round,201911
5,Nando De Colo,18.0,0,3,0,1,3,4,1,1,2,1,0,5,2,3,france,2019-09-01,germany,2019090111,First Round,201911
6,Frank Ntilikina,13.0,2,5,2,2,2,2,0,0,0,1,0,0,2,8,france,2019-09-01,germany,2019090111,First Round,201911
7,Vincent Poirier,9.0,3,4,0,0,3,3,3,4,0,0,0,1,1,9,france,2019-09-01,germany,2019090111,First Round,201911
8,Louis Labeyrie,8.0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,france,2019-09-01,germany,2019090111,First Round,201911
9,Axel Toupane,4.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,france,2019-09-01,germany,2019090111,First Round,201911
10,Totals,,25,52,9,20,19,25,5,35,16,4,9,16,22,78,france,2019-09-01,germany,2019090111,First Round,201911
