,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Mantas Kalnietis,22.0,5,8,3,5,0,0,0,2,8,1,0,4,0,13,lithuania,2019-09-01,senegal,2019090114,First Round,201914
1,Jonas Maciulis,21.0,3,6,2,4,0,0,1,7,5,0,0,0,1,8,lithuania,2019-09-01,senegal,2019090114,First Round,201914
2,Jonas Valanciunas,21.0,6,7,0,0,1,2,4,11,1,2,1,1,3,13,lithuania,2019-09-01,senegal,2019090114,First Round,201914
3,Domantas Sabonis,21.0,5,8,0,0,3,5,2,7,3,1,1,0,0,13,lithuania,2019-09-01,senegal,2019090114,First Round,201914
4,Mindaugas Kuzminskas,20.0,3,9,1,3,4,4,1,2,1,2,0,0,0,11,lithuania,2019-09-01,senegal,2019090114,First Round,201914
5,Marius Grigonis,19.0,4,8,0,2,4,4,0,2,2,1,0,1,0,12,lithuania,2019-09-01,senegal,2019090114,First Round,201914
6,Lukas Lekavicius,18.0,1,1,0,0,8,8,0,0,2,2,0,2,2,10,lithuania,2019-09-01,senegal,2019090114,First Round,201914
7,Edgaras Ulanovas,16.0,0,3,0,2,2,2,0,2,5,0,0,0,1,2,lithuania,2019-09-01,senegal,2019090114,First Round,201914
8,Paulius Jankunas,14.0,2,6,0,1,6,6,0,2,0,0,1,1,1,10,lithuania,2019-09-01,senegal,2019090114,First Round,201914
9,Renaldas Seibutis,12.0,1,2,1,1,0,0,0,0,1,0,0,0,2,3,lithuania,2019-09-01,senegal,2019090114,First Round,201914
10,Rokas Giedraitis,10.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,lithuania,2019-09-01,senegal,2019090114,First Round,201914
11,Arnas Butkevicius,7.0,3,3,0,0,0,0,0,1,0,0,0,0,1,6,lithuania,2019-09-01,senegal,2019090114,First Round,201914
12,Totals,,33,62,7,19,28,31,8,37,28,9,3,9,11,101,lithuania,2019-09-01,senegal,2019090114,First Round,201914
0,Mouhammad Faye,34.0,1,11,0,8,2,2,0,5,4,2,1,1,4,4,senegal,2019-09-01,lithuania,2019090114,First Round,201914
1,Maurice Ndour,30.0,4,12,0,3,0,0,0,2,1,4,2,3,1,8,senegal,2019-09-01,lithuania,2019090114,First Round,201914
2,Babacar Toure,23.0,4,9,0,1,0,0,4,4,0,0,0,3,3,8,senegal,2019-09-01,lithuania,2019090114,First Round,201914
3,Ibrahima Fall Faye,21.0,3,8,1,1,1,2,2,4,0,0,0,1,2,8,senegal,2019-09-01,lithuania,2019090114,First Round,201914
4,Youssou Ndoye,20.0,2,6,0,0,2,2,1,3,0,0,0,2,3,6,senegal,2019-09-01,lithuania,2019090114,First Round,201914
5,Lamine Sambe,18.0,1,8,0,4,0,0,0,0,0,0,0,1,3,2,senegal,2019-09-01,lithuania,2019090114,First Round,201914
6,Xane D'Almeida,14.0,0,2,0,2,0,0,0,0,3,0,0,1,1,0,senegal,2019-09-01,lithuania,2019090114,First Round,201914
7,Djibril Thiam,12.0,1,8,0,3,1,2,2,4,0,0,0,4,1,3,senegal,2019-09-01,lithuania,2019090114,First Round,201914
8,Momar Ndoye,11.0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,senegal,2019-09-01,lithuania,2019090114,First Round,201914
9,Hamady N'Diaye,8.0,1,1,0,0,0,0,1,1,0,0,1,0,3,2,senegal,2019-09-01,lithuania,2019090114,First Round,201914
10,Pape Diop,6.0,3,3,0,0,0,0,0,1,0,0,0,0,3,6,senegal,2019-09-01,lithuania,2019090114,First Round,201914
11,Makhtar Gueye,3.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,senegal,2019-09-01,lithuania,2019090114,First Round,201914
12,Totals,,20,70,1,23,6,8,11,27,8,7,4,16,25,47,senegal,2019-09-01,lithuania,2019090114,First Round,201914
