,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Suad Sehovic,26.0,1,5,1,4,0,0,1,2,1,0,0,1,1,3,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
1,Petar Popovic,24.0,4,9,1,1,2,2,1,3,2,1,0,1,1,11,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
2,Nikola Vucevic,23.0,6,14,0,1,0,1,0,3,0,2,1,0,0,12,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
3,Bojan Dubljevic,23.0,1,5,0,2,3,4,3,5,2,1,0,1,2,5,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
4,Nikola Ivanovic,21.0,3,10,1,4,2,2,0,2,5,1,0,1,3,9,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
5,Derek Needham,18.0,2,7,1,5,0,0,0,0,2,0,0,3,3,5,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
6,Dino Radoncic,17.0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
7,Sead Sehovic,13.0,0,2,0,0,2,4,1,3,0,0,0,1,2,2,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
8,Marko Todorovic,12.0,1,2,0,0,0,0,0,0,0,1,2,1,3,2,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
9,Milko Bjelica,12.0,4,8,1,2,0,0,0,2,0,1,0,0,2,9,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
10,Nemanja Radovic,11.0,1,4,0,0,0,0,3,4,1,0,0,0,4,2,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
11,Aleksa Popovic,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
12,Totals,,23,67,5,19,9,13,9,26,13,8,3,11,22,60,montenegro,2019-09-01,greece,2019090112,First Round,201912,fiba-world-cup
0,Ioannis Papapetrou,26.0,1,3,0,1,2,2,0,4,0,1,1,3,1,4,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
1,Nick Calathes,22.0,2,8,0,1,1,2,1,3,7,0,0,4,2,5,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
2,Ioannis Bourousis,21.0,5,7,2,4,0,0,1,5,2,2,0,1,2,12,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
3,Giorgos Printezis,19.0,5,6,2,2,4,4,0,1,1,2,0,1,0,16,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
4,Kostas Papanikolaou,19.0,1,4,0,1,0,0,1,3,2,0,2,0,1,2,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
5,Georgios Papagiannis,18.0,7,8,0,0,1,1,3,8,1,1,2,0,1,15,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
6,Giannis Antetokounmpo,16.0,4,9,0,2,2,2,1,8,1,2,1,2,3,10,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
7,Kostas Sloukas,14.0,2,4,0,1,0,0,0,1,2,1,0,0,1,4,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
8,Giannoulis Larentzakis,13.0,3,4,1,2,0,0,0,1,1,0,0,2,3,7,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
9,Thanasis Antetokounmpo,12.0,3,4,1,2,1,2,0,1,1,0,1,1,4,8,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
10,Panagiotis Vasilopoulos,11.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
11,Vangelis Mantzaris,10.0,0,0,0,0,2,2,0,2,5,0,0,0,0,2,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
12,Totals,,33,58,6,17,13,15,7,37,23,9,7,14,18,85,greece,2019-09-01,montenegro,2019090112,First Round,201912,fiba-world-cup
