,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Carlos Morais,31.0,4,13,1,4,1,2,0,3,2,1,1,3,3,10,angola,2019-09-02,italy,2019090217,First Round,201917
1,Yanick Moreira,28.0,7,12,0,0,1,2,5,8,0,0,0,1,4,15,angola,2019-09-02,italy,2019090217,First Round,201917
2,Gerson Domingos,26.0,2,7,1,3,0,0,0,0,0,0,0,3,2,5,angola,2019-09-02,italy,2019090217,First Round,201917
3,Reggie Moore,24.0,0,2,0,1,0,0,0,2,1,0,0,1,2,0,angola,2019-09-02,italy,2019090217,First Round,201917
4,Leonel Paulo,21.0,4,4,0,0,4,5,1,3,0,2,0,2,3,12,angola,2019-09-02,italy,2019090217,First Round,201917
5,Jose Antonio,19.0,1,5,0,3,2,3,1,3,1,0,0,1,2,4,angola,2019-09-02,italy,2019090217,First Round,201917
6,Eduardo Mingas,16.0,1,3,0,0,0,0,2,5,1,1,0,2,2,2,angola,2019-09-02,italy,2019090217,First Round,201917
7,Olimpio Cipriano,12.0,2,10,0,6,0,1,0,0,1,1,0,0,0,4,angola,2019-09-02,italy,2019090217,First Round,201917
8,Vander Joaquim,12.0,3,5,0,0,0,0,1,4,0,0,0,2,2,6,angola,2019-09-02,italy,2019090217,First Round,201917
9,Gerson Lukeny Goncalves,11.0,1,4,0,1,1,2,0,2,0,1,0,1,0,3,angola,2019-09-02,italy,2019090217,First Round,201917
10,Totals,,25,65,2,18,9,15,10,30,6,6,1,16,20,61,angola,2019-09-02,italy,2019090217,First Round,201917
0,Jeff Brooks,24.0,5,6,1,2,0,0,5,11,2,2,2,2,3,11,italy,2019-09-02,angola,2019090217,First Round,201917
1,Luigi Datome,22.0,3,4,1,2,1,2,0,1,2,0,1,0,2,8,italy,2019-09-02,angola,2019090217,First Round,201917
2,Marco Belinelli,20.0,5,12,3,6,4,4,3,5,1,2,0,1,0,17,italy,2019-09-02,angola,2019090217,First Round,201917
3,Amedeo Della Valle,20.0,3,8,2,6,0,0,0,1,0,1,0,0,1,8,italy,2019-09-02,angola,2019090217,First Round,201917
4,Awudu Abass,19.0,4,7,3,5,0,0,1,3,0,1,0,1,1,11,italy,2019-09-02,angola,2019090217,First Round,201917
5,Daniel Hackett,18.0,3,7,1,4,4,6,0,5,3,1,0,2,1,11,italy,2019-09-02,angola,2019090217,First Round,201917
6,Danilo Gallinari,18.0,3,7,0,2,1,2,3,6,2,0,1,1,0,7,italy,2019-09-02,angola,2019090217,First Round,201917
7,Alessandro Gentile,13.0,2,6,1,1,1,4,0,5,2,0,0,1,1,6,italy,2019-09-02,angola,2019090217,First Round,201917
8,Paul Biligha,13.0,1,2,0,0,1,2,0,0,0,2,1,0,4,3,italy,2019-09-02,angola,2019090217,First Round,201917
9,Luca Vitali,12.0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,italy,2019-09-02,angola,2019090217,First Round,201917
10,Amedeo Tessitori,11.0,4,6,0,1,2,2,0,2,1,0,1,1,1,10,italy,2019-09-02,angola,2019090217,First Round,201917
11,Ariel Filloy,10.0,0,1,0,1,0,0,0,2,2,1,0,2,0,0,italy,2019-09-02,angola,2019090217,First Round,201917
12,Totals,,33,66,12,30,14,22,12,41,16,10,7,13,17,92,italy,2019-09-02,angola,2019090217,First Round,201917
