,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Facu Campazzo,33.0,5,11,3,8,1,2,0,4,8,2,0,3,3,14,argentina,2019-09-02,nigeria,2019090219,First Round,201919
1,Luis Scola,32.0,8,16,1,5,6,7,2,10,0,0,0,4,2,23,argentina,2019-09-02,nigeria,2019090219,First Round,201919
2,Patricio Garino,30.0,5,11,2,3,5,6,1,7,1,3,4,0,3,17,argentina,2019-09-02,nigeria,2019090219,First Round,201919
3,Marcos Delia,29.0,2,4,0,0,3,4,2,8,1,0,1,1,2,7,argentina,2019-09-02,nigeria,2019090219,First Round,201919
4,Nicolas Laprovittola,23.0,3,8,2,6,3,4,0,2,6,1,0,3,1,11,argentina,2019-09-02,nigeria,2019090219,First Round,201919
5,Luca Vildoza,18.0,1,6,0,3,2,2,0,0,2,2,0,3,0,4,argentina,2019-09-02,nigeria,2019090219,First Round,201919
6,Nicolas Brussino,18.0,3,6,2,5,0,0,1,3,1,1,1,1,3,8,argentina,2019-09-02,nigeria,2019090219,First Round,201919
7,Gabriel Deck,16.0,3,10,2,4,2,2,3,5,1,0,0,0,4,10,argentina,2019-09-02,nigeria,2019090219,First Round,201919
8,Totals,,30,72,12,34,22,27,9,39,20,9,6,15,18,94,argentina,2019-09-02,nigeria,2019090219,First Round,201919
0,Ike Iroegbu,26.0,2,7,1,2,5,7,0,3,4,1,0,2,2,10,nigeria,2019-09-02,argentina,2019090219,First Round,201919
1,Josh Okogie,25.0,6,11,3,6,3,3,0,2,5,3,2,2,2,18,nigeria,2019-09-02,argentina,2019090219,First Round,201919
2,Jordan Nwora,24.0,4,14,1,6,3,4,0,3,2,5,0,1,0,12,nigeria,2019-09-02,argentina,2019090219,First Round,201919
3,Al-Farouq Aminu,22.0,1,6,0,1,1,2,2,8,4,0,2,2,4,3,nigeria,2019-09-02,argentina,2019090219,First Round,201919
4,Chimezie Metu,19.0,3,4,1,1,2,2,2,4,1,0,3,4,3,9,nigeria,2019-09-02,argentina,2019090219,First Round,201919
5,Ekpe Udoh,19.0,1,2,0,0,1,2,1,6,0,1,1,1,1,3,nigeria,2019-09-02,argentina,2019090219,First Round,201919
6,Ben Uzoh,18.0,2,8,0,2,0,2,2,2,2,1,0,0,3,4,nigeria,2019-09-02,argentina,2019090219,First Round,201919
7,Gabe Vincent,17.0,4,8,2,5,1,2,0,1,0,2,0,1,4,11,nigeria,2019-09-02,argentina,2019090219,First Round,201919
8,Ike Diogu,14.0,3,9,0,3,2,2,3,6,1,0,2,2,2,8,nigeria,2019-09-02,argentina,2019090219,First Round,201919
9,Stanley Okoye,11.0,1,3,1,2,0,0,0,1,2,0,0,0,1,3,nigeria,2019-09-02,argentina,2019090219,First Round,201919
10,Michael Eric,3.0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,nigeria,2019-09-02,argentina,2019090219,First Round,201919
11,Talib Zanna,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,nigeria,2019-09-02,argentina,2019090219,First Round,201919
12,Totals,,27,72,9,28,18,26,10,38,22,13,10,16,25,81,nigeria,2019-09-02,argentina,2019090219,First Round,201919
