,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Deon Thompson,31.0,6,10,2,3,1,2,2,5,2,0,1,1,1,15,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
1,Charles Abouo,29.0,6,8,3,4,4,5,0,2,1,1,0,2,1,19,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
2,Guy Edi,29.0,4,7,2,4,1,1,0,4,1,0,0,1,2,11,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
3,Vafessa Fofana,23.0,0,6,0,3,1,2,1,1,4,1,0,5,3,1,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
4,Souleyman Diabate,21.0,1,5,1,3,0,0,0,0,4,1,0,1,0,3,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
5,Bryan Pamba,21.0,2,6,0,1,1,2,2,6,2,1,0,3,3,5,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
6,Tiegbe Bamba,19.0,3,6,2,3,5,8,1,2,0,1,0,0,1,13,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
7,Mohamed Kone,11.0,1,3,0,0,0,1,1,1,1,1,0,0,0,2,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
8,Baru Adjehi,9.0,1,1,0,0,0,0,0,1,1,0,1,0,1,2,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
9,Frejus Zerbo,6.0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
10,Totals,,24,53,10,21,13,21,8,23,17,6,2,14,13,71,ivory coast,2019-09-02,venezuela,2019090223,First Round,201923
0,Heissler Guillent,31.0,11,18,5,10,1,3,1,2,7,0,0,2,1,28,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
1,Nestor Colmenares,29.0,5,12,0,2,0,0,4,7,5,1,0,1,2,10,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
2,Jose Vargas,26.0,3,6,2,4,0,0,1,6,2,2,0,1,3,8,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
3,Miguel Ruiz,26.0,5,7,0,0,0,0,2,8,2,1,0,1,2,10,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
4,Gregory Vargas,21.0,0,2,0,1,2,2,0,1,3,1,0,2,3,2,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
5,Jhornan Jose Zamora,18.0,4,8,4,7,2,3,0,0,1,1,0,2,1,14,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
6,Dwight Lewis,15.0,1,2,1,2,0,0,0,0,0,0,0,0,1,3,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
7,Windi Graterol,14.0,2,6,0,2,0,0,5,7,1,0,0,0,1,4,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
8,Michael Carrera,10.0,0,1,0,0,3,4,0,2,1,1,0,2,2,3,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
9,Pedro Chourio,10.0,2,3,1,2,0,0,0,0,0,1,0,1,3,5,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
10,Totals,,33,65,13,30,8,12,13,33,22,8,0,12,19,87,venezuela,2019-09-02,ivory coast,2019090223,First Round,201923
