,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Andray Blatche,29.0,2,10,1,7,0,0,1,4,6,2,1,2,5,5,philippines,2019-09-02,serbia,2019090221,First Round,201921
1,Japeth Aguilar,27.0,3,6,0,0,1,2,1,4,1,0,0,1,3,7,philippines,2019-09-02,serbia,2019090221,First Round,201921
2,Troy Rosario,23.0,1,2,0,0,0,0,1,3,0,0,0,0,2,2,philippines,2019-09-02,serbia,2019090221,First Round,201921
3,Cj Perez,22.0,6,11,1,2,3,4,0,0,3,2,0,3,3,16,philippines,2019-09-02,serbia,2019090221,First Round,201921
4,Paul Lee,22.0,6,13,0,5,3,4,1,1,1,2,0,0,2,15,philippines,2019-09-02,serbia,2019090221,First Round,201921
5,June Mar Fajardo,19.0,3,7,0,0,2,2,4,6,2,0,0,2,1,8,philippines,2019-09-02,serbia,2019090221,First Round,201921
6,RR Pogoy,15.0,1,5,0,2,0,0,1,1,0,1,0,1,2,2,philippines,2019-09-02,serbia,2019090221,First Round,201921
7,Gabe Norwood,14.0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,philippines,2019-09-02,serbia,2019090221,First Round,201921
8,Robert Bolick,13.0,2,5,1,3,2,2,0,1,1,0,0,2,0,7,philippines,2019-09-02,serbia,2019090221,First Round,201921
9,Kiefer Ravena,10.0,1,5,1,4,2,4,0,0,0,0,0,2,0,5,philippines,2019-09-02,serbia,2019090221,First Round,201921
10,Raymond Almazan,6.0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,philippines,2019-09-02,serbia,2019090221,First Round,201921
11,Totals,,25,67,4,24,13,18,9,21,14,7,1,14,25,67,philippines,2019-09-02,serbia,2019090221,First Round,201921
0,Vasilije Micic,24.0,5,6,1,2,0,0,0,2,7,2,0,2,4,11,serbia,2019-09-02,philippines,2019090221,First Round,201921
1,Vladimir Lucic,19.0,2,3,0,1,0,0,0,4,1,2,0,1,1,4,serbia,2019-09-02,philippines,2019090221,First Round,201921
2,Nikola Jokic,19.0,5,5,1,1,0,0,0,7,7,0,0,2,1,11,serbia,2019-09-02,philippines,2019090221,First Round,201921
3,Marko Guduric,18.0,3,7,1,5,5,6,0,1,2,1,0,2,3,12,serbia,2019-09-02,philippines,2019090221,First Round,201921
4,Bogdan Bogdanovic,18.0,6,8,4,5,1,1,1,3,5,2,0,1,2,17,serbia,2019-09-02,philippines,2019090221,First Round,201921
5,Nemanja Bjelica,16.0,7,7,3,3,3,3,2,3,1,1,0,0,0,20,serbia,2019-09-02,philippines,2019090221,First Round,201921
6,Stefan Jovic,16.0,3,6,0,0,0,0,0,4,4,1,0,1,1,6,serbia,2019-09-02,philippines,2019090221,First Round,201921
7,Boban Marjanovic,16.0,4,4,0,0,1,3,0,1,3,0,2,1,1,9,serbia,2019-09-02,philippines,2019090221,First Round,201921
8,Miroslav Raduljica,15.0,4,6,0,0,5,5,1,4,4,0,0,2,1,13,serbia,2019-09-02,philippines,2019090221,First Round,201921
9,Marko Simonovic,15.0,3,3,1,1,0,0,0,3,0,0,1,0,0,7,serbia,2019-09-02,philippines,2019090221,First Round,201921
10,Nikola Milutinov,12.0,4,4,0,0,2,2,0,0,2,0,0,0,0,10,serbia,2019-09-02,philippines,2019090221,First Round,201921
11,Stefan Bircevic,11.0,2,5,1,4,1,2,0,3,1,0,0,0,2,6,serbia,2019-09-02,philippines,2019090221,First Round,201921
12,Totals,,48,64,12,22,18,22,4,35,37,9,3,12,16,126,serbia,2019-09-02,philippines,2019090221,First Round,201921
