,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Mateusz Ponitka,39.0,7,10,0,0,11,17,0,9,3,2,4,2,3,25,poland,2019-09-02,china,2019090216,First Round,201916
1,A.J. Slaughter,38.0,6,13,3,9,7,8,1,2,4,0,0,4,2,22,poland,2019-09-02,china,2019090216,First Round,201916
2,Adam Waczynski,35.0,2,11,0,5,0,0,0,5,2,1,0,2,3,4,poland,2019-09-02,china,2019090216,First Round,201916
3,Damian Kulig,28.0,3,7,0,2,0,0,2,2,0,0,2,2,4,6,poland,2019-09-02,china,2019090216,First Round,201916
4,Aaron Cel,22.0,3,8,1,2,0,0,1,4,1,0,0,0,3,7,poland,2019-09-02,china,2019090216,First Round,201916
5,Adam Hrycaniuk,20.0,1,3,0,0,2,2,2,3,1,0,0,0,4,4,poland,2019-09-02,china,2019090216,First Round,201916
6,Michal Sokolowski,18.0,1,2,0,1,1,2,0,2,1,0,0,0,4,3,poland,2019-09-02,china,2019090216,First Round,201916
7,Olek Balcerowski,16.0,2,4,1,3,1,2,0,0,0,1,0,0,3,6,poland,2019-09-02,china,2019090216,First Round,201916
8,Lukasz Koszarek,7.0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,poland,2019-09-02,china,2019090216,First Round,201916
9,Dominik Olejniczak,1.0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,poland,2019-09-02,china,2019090216,First Round,201916
10,Totals,,26,60,5,23,22,31,7,29,14,4,6,10,27,79,poland,2019-09-02,china,2019090216,First Round,201916
0,Xiaochuan Di,34.0,3,5,0,0,1,2,2,4,0,0,0,1,1,7,china,2019-09-02,poland,2019090216,First Round,201916
1,Yi Jianlian,31.0,7,15,2,5,8,11,1,8,1,1,0,2,3,24,china,2019-09-02,poland,2019090216,First Round,201916
2,Zhao Jiwei,30.0,1,6,1,4,4,5,0,3,4,0,0,0,0,7,china,2019-09-02,poland,2019090216,First Round,201916
3,Rui Zhao,29.0,2,11,1,7,4,6,1,3,1,1,0,1,5,9,china,2019-09-02,poland,2019090216,First Round,201916
4,Zhou Qi,29.0,4,5,1,1,1,3,1,7,2,1,1,5,3,10,china,2019-09-02,poland,2019090216,First Round,201916
5,Wang Zhelin,28.0,4,6,0,0,2,2,2,9,1,0,1,2,4,10,china,2019-09-02,poland,2019090216,First Round,201916
6,Sun Minghui,19.0,1,6,1,4,0,2,2,3,1,1,0,0,4,3,china,2019-09-02,poland,2019090216,First Round,201916
7,Guo Ailun,14.0,2,6,1,2,1,2,0,0,4,0,0,1,5,6,china,2019-09-02,poland,2019090216,First Round,201916
8,Shuo Fang,9.0,0,3,0,2,0,0,0,0,1,0,0,1,1,0,china,2019-09-02,poland,2019090216,First Round,201916
9,Abudurexiti Abudushalamu,2.0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,china,2019-09-02,poland,2019090216,First Round,201916
10,Junfei Ren,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2019-09-02,poland,2019090216,First Round,201916
11,Totals,,24,63,7,25,21,33,10,38,15,4,2,13,28,76,china,2019-09-02,poland,2019090216,First Round,201916
