,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Marc Gasol,30.0,5,11,2,3,7,10,0,7,2,2,2,2,1,19,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
1,Rudy Fernandez,27.0,2,7,1,5,0,0,1,2,6,0,0,1,1,5,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
2,Ricky Rubio,25.0,5,12,1,4,6,9,1,8,4,1,0,2,1,17,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
3,Juan Hernangomez,23.0,4,8,0,3,0,0,2,5,1,1,0,1,2,8,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
4,Sergio Llull,22.0,4,12,0,6,1,2,0,1,3,1,0,2,4,9,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
5,Victor Claver,22.0,3,8,0,3,1,1,3,4,1,0,0,2,2,7,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
6,Pierre Oriola,19.0,3,4,0,1,0,0,1,4,0,0,0,0,2,6,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
7,Pau Ribas,16.0,0,4,0,4,0,0,0,0,1,2,0,0,0,0,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
8,Willy Hernangomez,6.0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
9,Quino Colom,5.0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
10,Xavi Rabaseda,4.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
11,Totals,,27,68,4,30,15,22,9,34,21,7,3,10,15,73,spain,2019-09-02,puerto-rico,2019090220,First Round,201920,fiba-world-cup
0,Renaldo Balkman,29.0,3,7,0,1,0,0,0,3,2,1,1,5,2,6,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
1,David Huertas,29.0,3,7,1,4,0,0,0,2,2,0,0,3,1,7,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
2,Devon Collier,22.0,2,4,0,0,2,2,2,5,0,0,0,0,3,6,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
3,Gian Clavell,22.0,5,10,1,3,2,3,2,5,4,0,0,0,1,13,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
4,Gary Browne,22.0,4,12,1,2,2,2,0,4,6,2,0,1,5,11,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
5,Alex Franklin,18.0,1,3,0,1,0,0,1,2,0,0,0,0,3,2,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
6,Angel Rodriguez,18.0,2,8,2,4,3,4,1,1,0,1,0,2,4,9,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
7,Jorge Diaz,18.0,2,5,1,3,0,0,0,5,1,0,2,2,4,5,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
8,Ramon Clemente,11.0,1,3,0,2,0,0,1,2,0,0,0,2,1,2,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
9,Isaiah Pineiro,8.0,0,2,0,0,2,2,1,1,0,0,0,0,1,2,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
10,Javier Mojica,4.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
11,Totals,,23,62,6,20,11,13,8,32,15,4,3,15,25,63,puerto-rico,2019-09-02,spain,2019090220,First Round,201920,fiba-world-cup
