,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nick Calathes,30.0,6,12,3,8,1,1,0,7,4,1,0,5,4,16,greece,2019-09-03,brazil,2019090325,First Round,201925
1,Kostas Sloukas,29.0,3,7,0,3,3,4,1,2,11,0,0,1,0,9,greece,2019-09-03,brazil,2019090325,First Round,201925
2,Giannis Antetokounmpo,29.0,3,7,0,1,7,7,1,4,1,3,1,3,5,13,greece,2019-09-03,brazil,2019090325,First Round,201925
3,Kostas Papanikolaou,27.0,1,2,1,2,2,2,1,5,0,1,2,0,1,5,greece,2019-09-03,brazil,2019090325,First Round,201925
4,Giorgos Printezis,26.0,6,12,4,5,4,5,1,4,2,0,0,2,2,20,greece,2019-09-03,brazil,2019090325,First Round,201925
5,Ioannis Papapetrou,23.0,3,8,1,5,0,0,1,3,0,1,0,0,1,7,greece,2019-09-03,brazil,2019090325,First Round,201925
6,Ioannis Bourousis,17.0,0,4,0,1,4,4,0,3,1,0,0,2,2,4,greece,2019-09-03,brazil,2019090325,First Round,201925
7,Georgios Papagiannis,16.0,2,6,0,0,0,0,0,3,0,0,2,0,4,4,greece,2019-09-03,brazil,2019090325,First Round,201925
8,Thanasis Antetokounmpo,4.0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,greece,2019-09-03,brazil,2019090325,First Round,201925
9,Totals,,24,60,9,26,21,23,5,31,19,6,5,14,20,78,greece,2019-09-03,brazil,2019090325,First Round,201925
0,Bruno Caboclo,34.0,3,6,2,3,0,0,1,10,2,2,1,3,3,8,brazil,2019-09-03,greece,2019090325,First Round,201925
1,Anderson Varejao,33.0,10,17,0,0,2,2,1,9,2,1,0,0,3,22,brazil,2019-09-03,greece,2019090325,First Round,201925
2,Rafa Luz,28.0,1,3,0,0,2,2,1,2,6,3,0,3,5,4,brazil,2019-09-03,greece,2019090325,First Round,201925
3,Alex Garcia,27.0,4,8,0,1,5,6,0,1,6,0,0,1,2,13,brazil,2019-09-03,greece,2019090325,First Round,201925
4,Leandro Barbosa,20.0,5,10,0,1,3,6,0,3,2,0,0,1,2,13,brazil,2019-09-03,greece,2019090325,First Round,201925
5,Marcus Vinicius,20.0,5,9,3,5,2,3,1,3,1,2,0,0,1,15,brazil,2019-09-03,greece,2019090325,First Round,201925
6,Marcelo Huertas,12.0,1,6,0,1,0,0,0,1,2,0,0,0,1,2,brazil,2019-09-03,greece,2019090325,First Round,201925
7,Vitor Benite,7.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,brazil,2019-09-03,greece,2019090325,First Round,201925
8,Cristiano Felicio,7.0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,brazil,2019-09-03,greece,2019090325,First Round,201925
9,Didi Louzada,6.0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,brazil,2019-09-03,greece,2019090325,First Round,201925
10,Augusto Lima,6.0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,brazil,2019-09-03,greece,2019090325,First Round,201925
11,Totals,,30,64,5,12,14,19,4,33,23,8,1,10,21,79,brazil,2019-09-03,greece,2019090325,First Round,201925
