,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Xane D'Almeida,38.0,6,12,2,4,0,0,0,5,4,2,0,0,3,14,senegal,2019-09-03,australia,2019090324,First Round,201924
1,Mouhammad Faye,33.0,4,12,2,5,2,2,1,3,2,1,0,1,1,12,senegal,2019-09-03,australia,2019090324,First Round,201924
2,Lamine Sambe,31.0,3,11,1,6,0,0,0,0,1,1,0,2,2,7,senegal,2019-09-03,australia,2019090324,First Round,201924
3,Maurice Ndour,30.0,4,12,0,2,5,7,1,3,1,2,0,0,5,13,senegal,2019-09-03,australia,2019090324,First Round,201924
4,Youssou Ndoye,29.0,6,15,0,3,1,2,5,10,1,1,2,3,2,13,senegal,2019-09-03,australia,2019090324,First Round,201924
5,Babacar Toure,17.0,4,6,0,0,1,1,2,3,0,0,0,0,1,9,senegal,2019-09-03,australia,2019090324,First Round,201924
6,Hamady N'Diaye,12.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,senegal,2019-09-03,australia,2019090324,First Round,201924
7,Momar Ndoye,8.0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,senegal,2019-09-03,australia,2019090324,First Round,201924
8,Pape Diop,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,senegal,2019-09-03,australia,2019090324,First Round,201924
9,Totals,,27,71,5,21,9,12,10,27,10,8,2,6,16,68,senegal,2019-09-03,australia,2019090324,First Round,201924
0,Patty Mills,33.0,8,16,3,8,3,4,0,1,1,0,0,2,0,22,australia,2019-09-03,senegal,2019090324,First Round,201924
1,Joe Ingles,31.0,6,8,4,6,1,1,0,10,9,0,2,4,3,17,australia,2019-09-03,senegal,2019090324,First Round,201924
2,Matthew Dellavedova,31.0,1,5,0,3,4,4,1,8,7,0,0,2,1,6,australia,2019-09-03,senegal,2019090324,First Round,201924
3,Aron Baynes,21.0,5,9,0,1,2,2,1,3,3,0,1,0,1,12,australia,2019-09-03,senegal,2019090324,First Round,201924
4,Chris Goulding,21.0,2,3,2,3,0,0,0,0,1,1,0,0,3,6,australia,2019-09-03,senegal,2019090324,First Round,201924
5,Nicholas Kay,20.0,3,5,0,0,2,2,1,3,3,0,0,1,0,8,australia,2019-09-03,senegal,2019090324,First Round,201924
6,Andrew Bogut,18.0,3,3,0,0,0,2,1,4,4,1,0,2,2,6,australia,2019-09-03,senegal,2019090324,First Round,201924
7,Jock Landale,15.0,0,2,0,1,0,0,0,3,0,0,0,4,1,0,australia,2019-09-03,senegal,2019090324,First Round,201924
8,Mitchell Creek,9.0,1,2,0,1,2,2,1,2,0,1,0,0,1,4,australia,2019-09-03,senegal,2019090324,First Round,201924
9,David Barlow,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,australia,2019-09-03,senegal,2019090324,First Round,201924
10,Totals,,29,53,9,23,14,17,5,34,28,3,3,15,12,81,australia,2019-09-03,senegal,2019090324,First Round,201924
