,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Ersan Ilyasova,38.0,9,19,1,5,4,5,3,14,1,1,1,3,4,23,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
1,Cedi Osman,37.0,4,15,1,7,6,9,0,2,4,1,2,1,4,15,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
2,Melih Mahmutoglu,33.0,8,13,2,4,0,1,0,2,0,2,0,3,0,18,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
3,Furkan Korkmaz,26.0,6,11,3,6,1,1,1,4,2,2,0,3,2,16,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
4,Semih Erden,22.0,0,2,0,0,0,0,1,4,2,0,0,2,5,0,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
5,Ahmet Tuncer,17.0,1,3,0,1,0,0,1,3,3,0,0,0,2,2,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
6,Sertac Sanli,17.0,2,4,0,0,2,4,0,1,0,1,0,1,3,6,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
7,Scottie Wilbekin,15.0,4,8,3,4,1,1,0,1,3,0,0,1,5,12,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
8,Dogus Balbay,13.0,0,3,0,1,0,2,1,4,3,1,0,0,1,0,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
9,James Birsen,6.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
10,Totals,,34,78,10,28,14,23,7,37,18,8,3,14,26,92,turkey,2019-09-03,united-states,2019090331,First Round,201931,fiba-world-cup
0,Kemba Walker,32.0,5,14,3,8,1,2,2,6,7,3,0,0,3,14,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
1,Jayson Tatum,31.0,3,11,0,3,5,6,3,11,3,2,2,4,1,11,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
2,Donovan Mitchell,29.0,3,12,3,9,0,0,1,4,4,2,1,1,2,9,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
3,Harrison Barnes,28.0,2,6,1,3,5,5,4,6,1,1,0,5,4,10,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
4,Myles Turner,28.0,3,7,1,2,4,5,3,9,0,1,1,2,3,11,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
5,Joe Harris,20.0,4,7,2,3,1,1,1,5,1,2,0,0,5,11,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
6,Khris Middleton,19.0,5,9,2,4,3,4,1,2,0,0,0,0,3,15,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
7,Derrick White,12.0,0,1,0,1,2,2,0,2,3,0,0,2,2,2,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
8,Marcus Smart,11.0,1,2,1,2,2,2,0,0,1,0,0,0,3,5,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
9,Brook Lopez,9.0,1,5,1,4,1,2,1,3,0,0,2,0,0,4,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
10,Jaylen Brown,6.0,0,3,0,1,1,3,0,1,0,0,0,0,1,1,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
11,Totals,,27,77,14,40,25,32,16,49,20,11,6,14,27,93,united-states,2019-09-03,turkey,2019090331,First Round,201931,fiba-world-cup
