,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Zhao Jiwei,32.0,4,8,3,6,1,1,0,1,4,3,0,0,2,12,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
1,Yi Jianlian,29.0,3,7,1,2,4,8,3,8,0,1,1,1,1,11,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
2,Zhou Qi,28.0,3,8,1,4,1,4,2,7,1,0,2,1,5,8,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
3,Rui Zhao,24.0,1,5,0,3,0,0,0,2,3,0,0,0,1,2,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
4,Shuo Fang,22.0,4,11,2,9,3,3,0,1,1,0,0,0,4,13,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
5,Wang Zhelin,20.0,1,5,0,0,3,3,1,2,0,0,0,0,2,5,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
6,Guo Ailun,19.0,0,7,0,5,1,2,0,0,0,1,0,2,1,1,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
7,Xiaochuan Di,15.0,2,2,0,0,1,1,0,0,0,1,0,0,2,5,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
8,Sun Minghui,6.0,1,3,0,2,0,0,0,1,1,1,0,0,0,2,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
9,Abudurexiti Abudushalamu,5.0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
10,Kelanbaike Makan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
11,Totals,,19,57,7,32,14,22,6,23,10,7,3,6,19,59,china,2019-09-04,venezuela,2019090439,First Round,201939,fiba-world-cup
0,Heissler Guillent,35.0,6,12,3,6,0,0,1,3,8,1,0,2,1,15,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
1,Nestor Colmenares,26.0,4,12,1,4,2,2,3,7,0,1,1,2,2,11,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
2,Jhornan Jose Zamora,25.0,2,9,1,5,0,0,0,3,2,1,0,0,1,5,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
3,Miguel Ruiz,24.0,2,2,0,0,0,0,2,7,0,0,0,1,3,4,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
4,Dwight Lewis,19.0,6,12,1,3,0,0,0,1,2,1,0,0,2,13,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
5,Jose Vargas,18.0,1,5,1,3,0,2,1,2,0,0,0,2,2,3,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
6,Gregory Vargas,17.0,3,6,0,2,6,6,2,4,1,0,0,5,4,12,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
7,Michael Carrera,12.0,2,2,0,0,0,2,3,6,0,0,0,0,3,4,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
8,Windi Graterol,12.0,1,2,0,0,0,0,2,6,1,0,0,1,3,2,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
9,Luis Bethelmy,6.0,1,1,1,1,0,1,1,2,1,0,0,1,1,3,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
10,Pedro Chourio,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
11,Totals,,28,63,8,24,8,13,15,41,15,4,1,14,23,72,venezuela,2019-09-04,china,2019090439,First Round,201939,fiba-world-cup
