,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Behnam Yakhchali,37.0,2,7,1,3,0,0,0,1,4,2,0,1,1,5,iran,2019-09-04,spain,2019090438,First Round,201938
1,Mohammad Jamshidi,34.0,7,15,1,4,0,0,0,3,4,1,0,1,2,15,iran,2019-09-04,spain,2019090438,First Round,201938
2,Hamed Haddadi,31.0,4,12,1,1,1,1,4,15,6,1,0,5,2,10,iran,2019-09-04,spain,2019090438,First Round,201938
3,Samad Nik Bahrami,27.0,3,10,1,3,1,2,2,3,6,0,0,2,4,8,iran,2019-09-04,spain,2019090438,First Round,201938
4,Michael Rostampour,24.0,5,7,2,3,1,2,0,3,0,2,0,1,2,13,iran,2019-09-04,spain,2019090438,First Round,201938
5,Sajjad Mashayekhi,19.0,1,5,0,1,0,0,0,2,0,0,0,0,2,2,iran,2019-09-04,spain,2019090438,First Round,201938
6,Arman Zangeneh,16.0,2,4,2,3,1,2,0,3,0,1,1,0,2,7,iran,2019-09-04,spain,2019090438,First Round,201938
7,Aaron Geramipoor,9.0,2,2,0,0,1,2,0,4,0,1,1,2,3,5,iran,2019-09-04,spain,2019090438,First Round,201938
8,Rasoul Mozafarivanani,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,iran,2019-09-04,spain,2019090438,First Round,201938
9,Totals,,26,62,8,18,5,9,6,34,20,8,2,13,18,65,iran,2019-09-04,spain,2019090438,First Round,201938
0,Juan Hernangomez,28.0,4,9,2,4,1,2,3,10,1,1,1,0,3,11,spain,2019-09-04,iran,2019090438,First Round,201938
1,Marc Gasol,27.0,6,13,1,5,3,4,0,6,3,1,0,1,2,16,spain,2019-09-04,iran,2019090438,First Round,201938
2,Rudy Fernandez,25.0,3,6,3,6,0,0,1,2,1,1,1,2,1,9,spain,2019-09-04,iran,2019090438,First Round,201938
3,Ricky Rubio,23.0,2,6,0,0,1,1,0,2,5,1,0,4,3,5,spain,2019-09-04,iran,2019090438,First Round,201938
4,Victor Claver,21.0,4,6,2,3,1,2,1,4,3,0,1,0,1,11,spain,2019-09-04,iran,2019090438,First Round,201938
5,Sergio Llull,21.0,1,7,1,5,0,0,0,2,3,0,0,4,0,3,spain,2019-09-04,iran,2019090438,First Round,201938
6,Pierre Oriola,14.0,2,6,0,2,0,0,2,4,0,0,0,0,1,4,spain,2019-09-04,iran,2019090438,First Round,201938
7,Willy Hernangomez,13.0,2,3,0,0,4,7,0,0,1,0,1,1,1,8,spain,2019-09-04,iran,2019090438,First Round,201938
8,Pau Ribas,13.0,1,4,0,3,0,0,0,2,4,0,0,0,0,2,spain,2019-09-04,iran,2019090438,First Round,201938
9,Quino Colom,9.0,1,1,0,0,0,0,0,2,2,1,0,1,1,2,spain,2019-09-04,iran,2019090438,First Round,201938
10,Javier Beiran,6.0,1,3,0,2,0,0,2,4,0,1,0,0,0,2,spain,2019-09-04,iran,2019090438,First Round,201938
11,Totals,,27,64,9,30,10,16,9,38,23,6,4,13,13,73,spain,2019-09-04,iran,2019090438,First Round,201938
