,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Andray Blatche,42.0,8,19,2,7,5,7,3,12,2,4,1,4,3,23,philippines,2019-09-04,angola,2019090432,First Round,201932
1,RR Pogoy,29.0,3,7,2,6,0,0,0,5,2,1,0,1,2,8,philippines,2019-09-04,angola,2019090432,First Round,201932
2,Japeth Aguilar,29.0,4,11,0,2,0,0,4,5,3,0,1,0,2,8,philippines,2019-09-04,angola,2019090432,First Round,201932
3,Cj Perez,28.0,6,13,3,8,2,2,3,7,3,0,0,4,2,17,philippines,2019-09-04,angola,2019090432,First Round,201932
4,Troy Rosario,22.0,0,7,0,4,0,0,4,9,0,0,0,1,2,0,philippines,2019-09-04,angola,2019090432,First Round,201932
5,Kiefer Ravena,19.0,1,8,0,3,4,5,2,5,4,2,0,0,3,6,philippines,2019-09-04,angola,2019090432,First Round,201932
6,Mark Barroca,14.0,2,5,0,3,0,0,0,0,0,1,0,1,1,4,philippines,2019-09-04,angola,2019090432,First Round,201932
7,June Mar Fajardo,13.0,0,1,0,0,2,2,2,4,0,0,0,2,3,2,philippines,2019-09-04,angola,2019090432,First Round,201932
8,Robert Bolick,10.0,4,9,2,6,0,0,0,0,1,0,0,0,0,10,philippines,2019-09-04,angola,2019090432,First Round,201932
9,Gabe Norwood,10.0,0,1,0,1,0,0,0,2,1,1,0,1,2,0,philippines,2019-09-04,angola,2019090432,First Round,201932
10,Paul Lee,7.0,1,6,1,6,0,0,0,0,0,0,0,0,0,3,philippines,2019-09-04,angola,2019090432,First Round,201932
11,Raymond Almazan,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,philippines,2019-09-04,angola,2019090432,First Round,201932
12,Totals,,29,87,10,46,13,16,18,50,16,9,2,14,20,81,philippines,2019-09-04,angola,2019090432,First Round,201932
0,Yanick Moreira,34.0,6,11,0,0,0,0,4,15,0,1,0,1,1,12,angola,2019-09-04,philippines,2019090432,First Round,201932
1,Carlos Morais,34.0,3,10,1,4,4,5,1,2,3,1,0,5,0,11,angola,2019-09-04,philippines,2019090432,First Round,201932
2,Vander Joaquim,31.0,6,10,1,2,7,8,1,7,0,1,3,2,3,20,angola,2019-09-04,philippines,2019090432,First Round,201932
3,Leonel Paulo,26.0,2,4,0,1,2,2,2,10,6,0,1,1,2,6,angola,2019-09-04,philippines,2019090432,First Round,201932
4,Gerson Domingos,25.0,1,8,0,3,3,4,1,5,4,1,0,4,2,5,angola,2019-09-04,philippines,2019090432,First Round,201932
5,Leandro Jacques Conceicao,22.0,4,9,2,5,0,0,0,2,1,0,0,0,2,10,angola,2019-09-04,philippines,2019090432,First Round,201932
6,Reggie Moore,21.0,4,8,3,5,1,4,2,4,2,0,0,2,2,12,angola,2019-09-04,philippines,2019090432,First Round,201932
7,Jose Antonio,20.0,1,6,1,3,0,0,0,2,0,0,0,1,0,3,angola,2019-09-04,philippines,2019090432,First Round,201932
8,Gerson Lukeny Goncalves,9.0,2,4,1,2,0,0,0,0,1,0,1,0,2,5,angola,2019-09-04,philippines,2019090432,First Round,201932
9,Divaldo Mbunga,4.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,angola,2019-09-04,philippines,2019090432,First Round,201932
10,Totals,,29,71,9,25,17,23,11,47,18,4,6,16,14,84,angola,2019-09-04,philippines,2019090432,First Round,201932
