,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Adam Waczynski,26.0,6,7,3,3,1,2,1,1,6,1,0,2,1,16,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
1,A.J. Slaughter,25.0,3,7,1,4,0,0,0,0,4,0,0,4,0,7,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
2,Mateusz Ponitka,23.0,5,8,1,3,1,2,0,4,0,1,0,2,2,12,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
3,Adam Hrycaniuk,20.0,2,4,0,0,0,0,1,3,2,1,1,2,2,4,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
4,Aaron Cel,20.0,2,6,1,3,0,0,0,5,4,0,0,2,2,5,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
5,Lukasz Koszarek,20.0,2,3,2,3,0,0,0,0,5,2,0,1,1,6,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
6,Damian Kulig,19.0,4,6,1,1,5,6,1,7,0,2,1,1,3,14,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
7,Olek Balcerowski,16.0,3,4,0,1,2,5,1,6,1,0,0,0,0,8,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
8,Michal Sokolowski,15.0,3,5,0,0,0,0,0,2,1,0,0,1,0,6,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
9,Karol Gruszecki,11.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
10,Dominik Olejniczak,4.0,1,2,0,0,0,0,0,2,1,0,0,1,0,2,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
11,Kamil Laczynski,1.0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
12,Totals,,31,55,9,21,9,15,4,31,25,8,2,16,11,80,poland,2019-09-04,ivory-coast,2019090434,First Round,201934
0,Charles Abouo,32.0,10,16,2,3,1,1,1,6,2,1,0,1,2,23,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
1,Deon Thompson,32.0,6,11,2,3,4,4,0,6,2,0,1,2,0,18,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
2,Guy Edi,25.0,0,9,0,5,1,2,0,1,2,0,0,1,1,1,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
3,Souleyman Diabate,24.0,4,9,1,4,0,0,0,1,6,3,0,1,0,9,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
4,Vafessa Fofana,20.0,1,2,0,1,0,0,0,0,0,2,0,3,1,2,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
5,Bryan Pamba,19.0,1,2,0,1,0,0,0,2,3,1,0,2,1,2,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
6,Frejus Zerbo,17.0,2,4,0,0,0,1,2,5,1,1,0,1,3,4,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
7,Tiegbe Bamba,16.0,1,4,0,3,0,0,1,1,1,0,0,2,3,2,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
8,Baru Adjehi,14.0,1,3,0,0,0,0,2,3,0,0,0,1,4,2,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
9,Totals,,26,60,5,20,6,8,6,25,17,8,1,14,15,63,ivory-coast,2019-09-04,poland,2019090434,First Round,201934
