,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Frank Ntilikina,25.0,3,7,2,5,0,0,0,2,4,2,0,3,1,8,france,2019-09-05,dominican-republic,2019090542,First Round,201942
1,Vincent Poirier,22.0,2,4,0,0,3,4,3,8,1,0,0,2,2,7,france,2019-09-05,dominican-republic,2019090542,First Round,201942
2,Mathias Lessort,20.0,5,8,0,0,1,2,1,4,1,0,1,0,1,11,france,2019-09-05,dominican-republic,2019090542,First Round,201942
3,Evan Fournier,20.0,5,11,0,0,0,2,1,2,5,3,1,1,2,10,france,2019-09-05,dominican-republic,2019090542,First Round,201942
4,Rudy Gobert,20.0,5,5,0,0,3,4,3,8,1,0,1,0,3,13,france,2019-09-05,dominican-republic,2019090542,First Round,201942
5,Axel Toupane,18.0,3,4,2,3,0,0,0,4,0,0,0,1,0,8,france,2019-09-05,dominican-republic,2019090542,First Round,201942
6,Amath M'Baye,18.0,1,1,1,1,0,0,0,1,1,0,0,1,3,3,france,2019-09-05,dominican-republic,2019090542,First Round,201942
7,Nando De Colo,16.0,5,9,1,3,4,4,0,1,3,0,0,1,3,15,france,2019-09-05,dominican-republic,2019090542,First Round,201942
8,Nicolas Batum,16.0,2,6,2,5,0,0,0,1,2,1,0,3,3,6,france,2019-09-05,dominican-republic,2019090542,First Round,201942
9,Andrew Albicy,15.0,1,3,1,1,0,0,0,1,4,2,0,0,3,3,france,2019-09-05,dominican-republic,2019090542,First Round,201942
10,Paul Lacombe,10.0,3,3,0,0,0,0,1,3,3,1,0,0,0,6,france,2019-09-05,dominican-republic,2019090542,First Round,201942
11,Totals,,35,61,9,18,11,16,9,35,25,9,3,12,21,90,france,2019-09-05,dominican-republic,2019090542,First Round,201942
0,Victor Liz,24.0,3,6,1,4,5,7,2,2,2,2,0,6,1,12,dominican-republic,2019-09-05,france,2019090542,First Round,201942
1,Eulis Baez,24.0,2,7,1,4,1,2,0,4,2,0,0,0,1,6,dominican-republic,2019-09-05,france,2019090542,First Round,201942
2,Ronald Roberts,21.0,2,9,0,0,0,0,4,6,0,0,0,1,4,4,dominican-republic,2019-09-05,france,2019090542,First Round,201942
3,Eloy Vargas,21.0,0,6,0,2,3,4,3,6,1,0,1,1,3,3,dominican-republic,2019-09-05,france,2019090542,First Round,201942
4,Luis Montero,21.0,1,6,1,3,0,2,1,3,1,0,1,0,1,3,dominican-republic,2019-09-05,france,2019090542,First Round,201942
5,Sadiel Rojas,17.0,4,8,0,1,0,0,2,3,0,2,0,2,2,8,dominican-republic,2019-09-05,france,2019090542,First Round,201942
6,Rigoberto Mendoza,16.0,1,4,1,2,2,2,0,2,1,0,0,0,2,5,dominican-republic,2019-09-05,france,2019090542,First Round,201942
7,Ronald Ramon,15.0,1,3,1,3,0,0,0,0,3,0,0,0,3,3,dominican-republic,2019-09-05,france,2019090542,First Round,201942
8,Juan Miguel Suero,13.0,0,0,0,0,2,2,1,3,0,0,0,1,1,2,dominican-republic,2019-09-05,france,2019090542,First Round,201942
9,Gelvis Solano,12.0,1,4,0,1,0,0,1,1,0,0,0,4,0,2,dominican-republic,2019-09-05,france,2019090542,First Round,201942
10,Dagoberto Pena,10.0,1,3,1,3,2,2,1,1,1,0,0,1,0,5,dominican-republic,2019-09-05,france,2019090542,First Round,201942
11,Juan Jose Garcia,7.0,1,5,1,4,0,2,0,0,0,1,1,1,1,3,dominican-republic,2019-09-05,france,2019090542,First Round,201942
12,Totals,,17,61,7,27,15,23,15,31,11,5,3,17,19,56,dominican-republic,2019-09-05,france,2019090542,First Round,201942
