,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Xane D'Almeida,37.0,2,8,1,5,2,3,1,3,7,0,1,3,2,7,senegal,2019-09-05,canada,2019090541,First Round,201941
1,Maurice Ndour,30.0,3,9,1,3,2,2,2,12,1,0,0,5,3,9,senegal,2019-09-05,canada,2019090541,First Round,201941
2,Lamine Sambe,28.0,4,12,2,8,0,0,0,0,5,1,0,2,3,10,senegal,2019-09-05,canada,2019090541,First Round,201941
3,Mouhammad Faye,26.0,5,12,3,9,1,2,1,3,0,1,0,3,3,14,senegal,2019-09-05,canada,2019090541,First Round,201941
4,Youssou Ndoye,24.0,2,5,0,1,3,4,0,4,1,1,0,0,2,7,senegal,2019-09-05,canada,2019090541,First Round,201941
5,Hamady N'Diaye,17.0,1,1,0,0,1,2,1,2,0,0,3,1,1,3,senegal,2019-09-05,canada,2019090541,First Round,201941
6,Djibril Thiam,14.0,2,5,0,2,0,0,0,1,2,0,0,1,1,4,senegal,2019-09-05,canada,2019090541,First Round,201941
7,Babacar Toure,11.0,2,3,1,1,0,0,0,0,0,0,0,0,1,5,senegal,2019-09-05,canada,2019090541,First Round,201941
8,Momar Ndoye,9.0,0,1,0,0,1,2,1,1,1,1,0,0,0,1,senegal,2019-09-05,canada,2019090541,First Round,201941
9,Pape Diop,4.0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,senegal,2019-09-05,canada,2019090541,First Round,201941
10,Totals,,21,57,8,29,10,15,7,28,17,5,4,15,16,60,senegal,2019-09-05,canada,2019090541,First Round,201941
0,Kevin Pangos,30.0,5,11,3,7,0,0,2,5,5,2,0,0,2,13,canada,2019-09-05,senegal,2019090541,First Round,201941
1,Cory Joseph,30.0,9,17,3,5,3,3,1,2,3,2,0,1,2,24,canada,2019-09-05,senegal,2019090541,First Round,201941
2,Khem Birch,27.0,2,8,0,2,2,4,6,10,2,3,3,2,2,6,canada,2019-09-05,senegal,2019090541,First Round,201941
3,Melvin Ejim,27.0,5,10,0,2,1,1,2,8,2,1,1,1,1,11,canada,2019-09-05,senegal,2019090541,First Round,201941
4,Kyle Wiltjer,17.0,2,9,1,7,0,0,1,2,1,1,0,1,0,5,canada,2019-09-05,senegal,2019090541,First Round,201941
5,Brady Heslip,15.0,1,6,1,5,3,3,1,3,1,0,0,0,0,6,canada,2019-09-05,senegal,2019090541,First Round,201941
6,Philip Scrubb,15.0,1,4,1,3,0,0,0,2,2,0,0,0,1,3,canada,2019-09-05,senegal,2019090541,First Round,201941
7,Conor Morgan,13.0,1,4,1,3,0,0,2,2,1,0,1,4,0,3,canada,2019-09-05,senegal,2019090541,First Round,201941
8,Owen Klassen,12.0,0,3,0,0,2,4,3,5,0,0,0,2,5,2,canada,2019-09-05,senegal,2019090541,First Round,201941
9,Thomas Scrubb,9.0,0,0,0,0,1,3,1,2,2,0,0,0,1,1,canada,2019-09-05,senegal,2019090541,First Round,201941
10,Andrew Nembhard,4.0,1,1,1,1,2,2,0,2,1,0,0,1,0,5,canada,2019-09-05,senegal,2019090541,First Round,201941
11,Kaza Kajami-Keane,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,canada,2019-09-05,senegal,2019090541,First Round,201941
12,Totals,,28,74,12,36,14,20,19,43,20,9,5,12,14,82,canada,2019-09-05,senegal,2019090541,First Round,201941
