,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Danilo Gallinari,35.0,5,9,2,5,3,5,0,5,2,2,0,0,2,15,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
1,Daniel Hackett,34.0,1,5,1,3,2,2,0,8,2,1,0,2,2,5,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
2,Marco Belinelli,31.0,3,16,0,6,1,1,0,4,4,0,0,2,1,7,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
3,Paul Biligha,28.0,3,5,0,0,0,0,2,5,0,0,0,0,2,6,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
4,Luigi Datome,25.0,5,10,1,3,1,1,1,3,1,2,2,2,5,12,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
5,Alessandro Gentile,23.0,3,9,0,1,1,2,3,4,1,0,0,1,3,7,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
6,Jeff Brooks,8.0,0,2,0,1,1,2,1,2,0,0,0,0,0,1,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
7,Luca Vitali,6.0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
8,Amedeo Della Valle,5.0,3,6,0,1,0,0,0,1,1,0,0,0,1,6,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
9,Amedeo Tessitori,4.0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
10,Totals,,23,65,4,20,10,15,7,32,11,5,2,9,16,60,italy,2019-09-06,spain,2019090654,Second Round,201954,fiba-world-cup
0,Victor Claver,28.0,3,4,1,2,0,0,2,9,0,0,1,1,4,7,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
1,Rudy Fernandez,27.0,1,6,1,5,2,2,0,5,5,2,0,0,2,5,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
2,Marc Gasol,27.0,1,6,0,0,0,0,0,4,1,0,1,1,2,2,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
3,Ricky Rubio,25.0,4,11,1,3,6,7,1,2,2,2,0,7,2,15,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
4,Sergio Llull,24.0,4,12,1,6,2,2,0,2,3,2,0,1,3,11,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
5,Juan Hernangomez,23.0,6,10,1,3,3,6,2,4,0,0,0,2,1,16,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
6,Pau Ribas,21.0,2,4,1,3,0,0,0,4,1,1,0,1,2,5,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
7,Willy Hernangomez,13.0,2,5,0,0,0,0,1,7,0,0,0,0,2,4,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
8,Pierre Oriola,12.0,1,3,0,1,0,0,1,2,0,0,0,0,2,2,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
9,Totals,,24,61,6,23,13,17,7,39,12,7,2,13,20,67,spain,2019-09-06,italy,2019090654,Second Round,201954,fiba-world-cup
