,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Deon Thompson,32.0,7,11,3,5,2,2,2,9,2,2,0,1,2,19,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
1,Souleyman Diabate,27.0,4,13,2,4,0,0,0,1,4,0,0,2,2,10,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
2,Vafessa Fofana,23.0,0,3,0,1,0,0,0,2,5,2,2,4,5,0,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
3,Bryan Pamba,23.0,1,5,1,3,0,0,1,4,3,2,0,1,2,3,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
4,Mohamed Kone,22.0,6,14,0,1,0,0,1,2,2,2,0,2,3,12,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
5,Charles Abouo,18.0,2,7,0,2,0,0,2,2,1,1,0,2,0,4,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
6,Guy Edi,16.0,1,4,0,2,2,2,2,3,1,0,0,2,2,4,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
7,Tiegbe Bamba,15.0,3,5,1,1,0,1,0,2,0,0,0,1,1,7,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
8,Frejus Zerbo,13.0,1,3,0,0,0,0,0,3,1,0,0,0,1,2,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
9,Baru Adjehi,8.0,2,2,0,0,1,2,0,2,2,0,0,0,1,5,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
10,Bali Coulibaly,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
11,Louis Cyrille Jean Benoit A Sie,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
12,Totals,,27,67,7,19,5,7,9,31,21,9,2,15,19,66,ivory coast,2019-09-06,nigeria,2019090651,Classification,201951,fiba-world-cup
0,Ekpe Udoh,26.0,6,8,0,0,1,2,2,5,1,1,2,0,2,13,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
1,Ben Uzoh,25.0,5,7,0,1,0,0,1,2,3,1,0,2,1,10,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
2,Josh Okogie,24.0,1,7,0,4,0,0,1,5,5,1,0,2,0,2,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
3,Al-Farouq Aminu,21.0,5,8,1,3,2,3,2,7,4,2,0,1,1,13,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
4,Ike Diogu,20.0,2,8,1,4,1,2,1,9,3,0,0,2,2,6,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
5,Stanley Okoye,17.0,3,5,3,3,1,2,0,1,1,0,1,0,2,10,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
6,Gabe Vincent,16.0,5,11,3,9,2,2,1,2,0,2,0,1,1,15,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
7,Ike Iroegbu,16.0,2,4,1,2,0,0,0,3,3,0,0,1,2,5,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
8,Michael Eric,14.0,4,6,0,0,1,3,1,2,1,2,3,2,3,9,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
9,Chimezie Metu,14.0,0,1,0,0,0,0,1,3,2,2,0,2,0,0,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
10,Talib Zanna,8.0,0,3,0,0,0,2,1,2,0,1,0,1,1,0,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
11,Totals,,33,68,9,26,8,16,11,41,23,12,6,14,15,83,nigeria,2019-09-06,ivory coast,2019090651,Classification,201951,fiba-world-cup
