,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Guna Ra,40.0,8,20,0,1,5,6,7,12,3,4,0,2,2,21,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
1,Seounghyun Lee,32.0,4,10,2,7,2,2,0,4,1,0,1,3,1,12,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
2,Sunhyung Kim,30.0,4,13,1,6,5,6,3,5,4,1,0,2,1,14,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
3,Junghyun Lee,29.0,3,11,1,8,2,2,1,6,0,1,0,4,4,9,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
4,Junyong Choi,23.0,3,6,3,6,3,6,2,3,1,0,1,1,2,12,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
5,Chan Hee Park,16.0,2,3,0,0,1,2,1,3,4,0,0,3,0,5,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
6,Heejong Yang,11.0,0,1,0,1,0,0,0,1,2,0,0,0,2,0,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
7,Sangjae Kang,8.0,0,2,0,2,0,0,1,2,0,0,0,0,1,0,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
8,Hyogeun Jeong,6.0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
9,Hoon Heo,6.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
10,Totals,,24,71,7,33,18,24,15,37,15,6,2,15,14,73,korea,2019-09-06,china,2019090650,Classification,201950,fiba-world-cup
0,Rui Zhao,28.0,6,8,2,2,2,2,0,1,0,1,0,1,3,16,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
1,Zhou Qi,27.0,5,8,0,1,3,6,3,14,1,2,2,1,1,13,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
2,Shuo Fang,27.0,3,7,1,4,0,0,0,2,2,3,0,1,4,7,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
3,Guo Ailun,26.0,7,16,2,5,0,0,1,2,5,2,0,1,1,16,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
4,Yi Jianlian,23.0,4,12,0,2,0,0,3,9,2,1,2,4,3,8,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
5,Zhao Jiwei,19.0,1,2,0,1,0,0,0,2,2,1,0,1,4,2,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
6,Junfei Ren,16.0,1,2,0,0,0,0,0,3,1,0,0,1,2,2,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
7,Wang Zhelin,13.0,2,7,0,0,2,2,3,5,0,2,0,1,4,6,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
8,Xiaochuan Di,12.0,2,5,0,2,0,0,0,1,1,0,1,1,2,4,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
9,Sun Minghui,7.0,1,2,0,0,1,1,0,0,0,0,0,0,1,3,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
10,Totals,,32,69,5,17,8,11,10,39,14,12,5,12,25,77,china,2019-09-06,korea,2019090650,Classification,201950,fiba-world-cup
