,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nikita Kurbanov,31.0,2,7,1,4,1,2,2,5,4,1,0,2,5,6,russia,2019-09-06,poland,2019090652,Second Round,201952
1,Andrey Vorontsevich,30.0,3,5,1,2,4,5,3,10,2,2,1,0,4,11,russia,2019-09-06,poland,2019090652,Second Round,201952
2,Mikhail Kulagin,29.0,7,16,5,12,2,2,0,0,3,0,0,3,2,21,russia,2019-09-06,poland,2019090652,Second Round,201952
3,Vitaly Fridzon,25.0,4,9,0,3,1,2,3,3,0,1,0,1,3,9,russia,2019-09-06,poland,2019090652,Second Round,201952
4,Andrey Zubkov,20.0,1,6,0,1,0,0,1,3,2,0,0,2,2,2,russia,2019-09-06,poland,2019090652,Second Round,201952
5,Semen Antonov,19.0,3,9,0,4,5,8,2,8,0,0,1,1,0,11,russia,2019-09-06,poland,2019090652,Second Round,201952
6,Sergey Karasev,18.0,1,2,1,1,0,0,0,2,4,1,0,0,3,3,russia,2019-09-06,poland,2019090652,Second Round,201952
7,Vladimir Ivlev,13.0,2,4,0,0,0,0,1,2,0,0,0,1,2,4,russia,2019-09-06,poland,2019090652,Second Round,201952
8,Grigory Motovilov,12.0,2,5,0,1,0,0,0,1,2,0,0,1,2,4,russia,2019-09-06,poland,2019090652,Second Round,201952
9,Evgeny Baburin,5.0,1,2,1,2,0,0,1,1,0,1,0,0,4,3,russia,2019-09-06,poland,2019090652,Second Round,201952
10,Totals,,26,65,9,30,13,19,13,35,17,6,2,11,27,74,russia,2019-09-06,poland,2019090652,Second Round,201952
0,Adam Waczynski,37.0,4,9,1,5,9,10,0,1,2,0,0,3,4,18,poland,2019-09-06,russia,2019090652,Second Round,201952
1,A.J. Slaughter,31.0,3,15,1,7,1,2,0,4,1,1,1,1,4,8,poland,2019-09-06,russia,2019090652,Second Round,201952
2,Mateusz Ponitka,29.0,2,8,1,2,9,9,1,9,3,3,1,2,2,14,poland,2019-09-06,russia,2019090652,Second Round,201952
3,Adam Hrycaniuk,27.0,3,5,0,0,2,2,2,6,3,1,0,1,1,8,poland,2019-09-06,russia,2019090652,Second Round,201952
4,Aaron Cel,20.0,4,8,1,3,0,0,3,4,0,0,0,1,2,9,poland,2019-09-06,russia,2019090652,Second Round,201952
5,Damian Kulig,15.0,1,2,0,1,8,9,2,7,0,0,2,1,1,10,poland,2019-09-06,russia,2019090652,Second Round,201952
6,Lukasz Koszarek,15.0,2,5,2,4,0,0,0,0,4,0,0,0,1,6,poland,2019-09-06,russia,2019090652,Second Round,201952
7,Michal Sokolowski,13.0,0,0,0,0,6,6,0,0,0,2,0,0,3,6,poland,2019-09-06,russia,2019090652,Second Round,201952
8,Olek Balcerowski,11.0,0,1,0,1,0,0,1,2,0,0,0,1,2,0,poland,2019-09-06,russia,2019090652,Second Round,201952
9,Karol Gruszecki,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,poland,2019-09-06,russia,2019090652,Second Round,201952
10,Totals,,19,53,6,23,35,38,9,33,13,7,4,10,21,79,poland,2019-09-06,russia,2019090652,Second Round,201952
