,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Victor Liz,36.0,4,10,0,2,6,8,1,4,4,4,0,1,2,14,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
1,Gelvis Solano,28.0,3,9,0,2,0,5,0,3,9,0,0,4,5,6,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
2,Eulis Baez,26.0,4,10,2,5,0,0,1,4,1,1,2,0,3,10,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
3,Rigoberto Mendoza,26.0,6,9,0,0,0,0,1,5,1,3,0,2,1,12,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
4,Eloy Vargas,23.0,6,10,0,0,4,4,0,7,0,1,1,2,1,16,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
5,Sadiel Rojas,22.0,2,3,0,1,0,0,1,2,0,1,0,1,3,4,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
6,Ronald Roberts,17.0,3,5,0,1,2,2,1,1,0,0,1,1,2,8,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
7,Luis Montero,14.0,1,3,1,2,2,2,0,3,0,0,0,0,1,5,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
8,Ronald Ramon,5.0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
9,Dagoberto Pena,4.0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
10,Juan Miguel Suero,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
11,Totals,,29,60,3,14,15,23,5,29,18,11,4,11,18,76,dominican republic,2019-09-07,australia,2019090756,Second Round,201956
0,Patty Mills,30.0,6,12,2,6,5,6,1,4,9,2,0,4,3,19,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
1,Joe Ingles,30.0,1,4,0,2,0,0,1,7,3,3,0,2,3,2,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
2,Matthew Dellavedova,27.0,2,6,2,4,0,0,0,2,7,2,0,3,1,6,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
3,Nicholas Kay,23.0,3,6,0,1,1,1,3,8,2,0,0,1,1,7,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
4,Chris Goulding,22.0,3,11,3,9,6,6,0,2,0,0,0,1,0,15,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
5,Jock Landale,18.0,5,6,2,2,1,2,0,1,0,1,1,3,3,13,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
6,Andrew Bogut,17.0,4,10,0,1,0,0,4,8,6,0,0,1,3,8,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
7,Aron Baynes,16.0,5,8,0,2,0,0,0,5,2,0,1,0,5,10,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
8,Mitchell Creek,13.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
9,Nathan Sobey,4.0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
10,Totals,,30,65,9,27,13,15,10,38,30,8,2,15,20,82,australia,2019-09-07,dominican republic,2019090756,Second Round,201956
