,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Jonas Maciulis,27.0,1,4,1,3,2,2,3,6,1,2,0,0,3,5,lithuania,2019-09-07,france,2019090759,Second Round,201959
1,Jonas Valanciunas,26.0,6,12,0,0,6,9,3,8,1,1,2,1,3,18,lithuania,2019-09-07,france,2019090759,Second Round,201959
2,Domantas Sabonis,26.0,3,9,0,0,1,2,3,6,4,0,1,4,4,7,lithuania,2019-09-07,france,2019090759,Second Round,201959
3,Edgaras Ulanovas,24.0,1,2,0,1,6,6,0,2,3,1,0,0,1,8,lithuania,2019-09-07,france,2019090759,Second Round,201959
4,Mantas Kalnietis,23.0,5,10,1,5,1,2,0,1,3,0,0,0,2,12,lithuania,2019-09-07,france,2019090759,Second Round,201959
5,Marius Grigonis,22.0,3,8,1,4,3,3,0,2,1,2,0,2,5,10,lithuania,2019-09-07,france,2019090759,Second Round,201959
6,Lukas Lekavicius,17.0,4,7,2,3,0,0,0,1,2,0,0,1,0,10,lithuania,2019-09-07,france,2019090759,Second Round,201959
7,Renaldas Seibutis,17.0,0,4,0,2,0,0,1,2,1,0,0,0,1,0,lithuania,2019-09-07,france,2019090759,Second Round,201959
8,Mindaugas Kuzminskas,9.0,0,2,0,1,0,0,1,3,0,0,0,2,2,0,lithuania,2019-09-07,france,2019090759,Second Round,201959
9,Arnas Butkevicius,5.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,lithuania,2019-09-07,france,2019090759,Second Round,201959
10,Paulius Jankunas,4.0,0,2,0,0,5,5,1,1,0,1,0,0,0,5,lithuania,2019-09-07,france,2019090759,Second Round,201959
11,Totals,,23,60,5,19,24,29,12,35,16,7,3,10,22,75,lithuania,2019-09-07,france,2019090759,Second Round,201959
0,Nicolas Batum,35.0,5,9,2,6,0,0,0,3,0,1,3,1,4,12,france,2019-09-07,lithuania,2019090759,Second Round,201959
1,Evan Fournier,28.0,10,22,2,5,2,2,0,1,3,0,0,2,4,24,france,2019-09-07,lithuania,2019090759,Second Round,201959
2,Amath M'Baye,27.0,1,3,1,3,0,0,0,2,0,0,1,2,0,3,france,2019-09-07,lithuania,2019090759,Second Round,201959
3,Nando De Colo,25.0,6,13,3,6,6,7,0,3,4,1,0,3,3,21,france,2019-09-07,lithuania,2019090759,Second Round,201959
4,Rudy Gobert,23.0,3,4,0,0,3,6,2,8,1,0,1,0,4,9,france,2019-09-07,lithuania,2019090759,Second Round,201959
5,Andrew Albicy,20.0,1,2,1,1,0,0,0,1,4,0,0,0,3,3,france,2019-09-07,lithuania,2019090759,Second Round,201959
6,Vincent Poirier,17.0,2,4,0,0,2,3,2,3,0,0,1,0,2,6,france,2019-09-07,lithuania,2019090759,Second Round,201959
7,Frank Ntilikina,13.0,0,3,0,1,0,0,1,2,2,0,0,1,4,0,france,2019-09-07,lithuania,2019090759,Second Round,201959
8,Axel Toupane,8.0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,france,2019-09-07,lithuania,2019090759,Second Round,201959
9,Mathias Lessort,4.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,france,2019-09-07,lithuania,2019090759,Second Round,201959
10,Totals,,28,62,9,23,13,18,5,26,14,2,6,9,27,78,france,2019-09-07,lithuania,2019090759,Second Round,201959
