,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Vander Joaquim,32.0,6,11,2,2,2,2,0,7,1,0,0,1,3,16,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
1,Carlos Morais,30.0,4,10,2,5,0,0,1,2,4,0,0,2,3,10,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
2,Yanick Moreira,27.0,8,10,0,0,5,5,3,9,1,2,0,3,3,21,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
3,Gerson Domingos,22.0,7,10,4,5,1,1,2,3,6,0,0,3,1,19,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
4,Reggie Moore,21.0,1,3,1,2,0,0,0,5,1,0,0,2,3,3,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
5,Gerson Lukeny Goncalves,19.0,1,5,0,1,2,2,1,2,4,0,0,0,1,4,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
6,Leandro Jacques Conceicao,17.0,0,2,0,1,0,0,0,0,2,1,1,0,2,0,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
7,Jose Antonio,14.0,1,1,0,0,2,2,0,0,0,0,0,0,4,4,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
8,Leonel Paulo,13.0,3,4,0,0,1,2,0,0,2,0,0,0,5,7,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
9,Olimpio Cipriano,4.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
10,Totals,,31,57,9,17,13,14,7,28,21,3,1,12,25,84,angola,2019-09-08,tunisia,2019090870,Classification,201970,fiba-world-cup
0,Mourad El Mabrouk,39.0,4,10,1,5,4,5,1,2,3,0,0,1,2,13,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
1,Makram Ben Romdhane,37.0,7,11,4,5,2,5,2,8,7,1,0,1,3,20,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
2,Omar Abada,36.0,3,7,0,3,3,4,0,3,4,2,0,3,2,9,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
3,Salah Mejri,35.0,6,10,1,2,5,6,2,8,3,1,8,2,5,18,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
4,Michael Roll,34.0,9,14,1,4,2,3,0,0,4,1,0,0,3,21,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
5,Mohamed Hadidane,8.0,1,1,1,1,0,0,0,1,0,0,0,1,2,3,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
6,Ziyed Chennoufi,7.0,1,3,0,1,0,0,0,0,1,0,0,0,1,2,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
7,Nizar Knioua,4.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
8,Totals,,31,56,8,21,16,23,5,22,22,5,8,9,20,86,tunisia,2019-09-08,angola,2019090870,Classification,201970,fiba-world-cup
