,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Josh Okogie,28.0,5,9,0,0,9,9,0,5,3,3,2,1,2,19,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
1,Al-Farouq Aminu,25.0,2,6,0,0,2,2,1,8,6,2,1,4,0,6,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
2,Ben Uzoh,21.0,2,5,0,0,0,0,0,0,4,0,1,0,0,4,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
3,Ekpe Udoh,21.0,5,8,0,0,3,3,1,2,0,1,0,0,2,13,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
4,Chimezie Metu,20.0,5,8,1,2,0,0,3,6,1,0,1,1,2,11,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
5,Gabe Vincent,19.0,4,6,2,4,1,1,0,1,2,1,0,0,3,11,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
6,Michael Eric,17.0,4,5,0,0,0,2,1,2,0,3,1,0,3,8,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
7,Ike Diogu,16.0,1,5,0,2,0,0,1,3,0,1,0,2,1,2,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
8,Ike Iroegbu,15.0,3,7,2,5,0,0,0,2,0,0,0,3,1,8,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
9,Stanley Okoye,14.0,2,5,0,2,0,0,0,2,2,0,0,4,3,4,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
10,Talib Zanna,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
11,Totals,,33,64,5,15,15,17,7,31,18,12,6,15,17,86,nigeria,2019-09-08,china,2019090864,Classification,201964,fiba-world-cup
0,Shuo Fang,37.0,7,11,4,7,1,1,1,5,3,3,0,3,0,19,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
1,Wang Zhelin,27.0,4,6,0,0,4,6,1,7,0,0,2,2,3,12,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
2,Yi Jianlian,26.0,10,14,2,4,5,9,0,6,2,1,0,2,3,27,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
3,Sun Minghui,21.0,2,5,0,0,0,0,0,0,9,2,0,2,1,4,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
4,Rui Zhao,17.0,0,4,0,1,0,0,1,1,4,2,0,0,1,0,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
5,Xiaochuan Di,17.0,0,2,0,1,0,0,1,3,0,0,0,1,2,0,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
6,Zhou Qi,16.0,1,3,0,1,0,0,0,4,1,0,0,2,5,2,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
7,Guo Ailun,15.0,0,5,0,2,2,2,1,2,2,1,0,2,2,2,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
8,Abudurexiti Abudushalamu,13.0,2,4,1,2,2,2,0,0,0,1,0,1,1,7,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
9,Junfei Ren,7.0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
10,Zhao Jiwei,5.0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
11,Totals,,26,56,7,19,14,20,5,28,21,11,2,20,21,73,china,2019-09-08,nigeria,2019090864,Classification,201964,fiba-world-cup
