,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nikita Kurbanov,28.0,3,7,1,3,5,6,0,8,2,0,0,2,3,12,russia,2019-09-08,venezuela,2019090871,Second Round,201971
1,Andrey Vorontsevich,28.0,4,6,3,3,6,6,0,9,5,0,0,1,4,17,russia,2019-09-08,venezuela,2019090871,Second Round,201971
2,Grigory Motovilov,23.0,5,12,1,4,1,3,0,3,1,2,0,2,0,12,russia,2019-09-08,venezuela,2019090871,Second Round,201971
3,Vladimir Ivlev,22.0,2,5,0,0,3,4,1,3,1,0,0,2,3,7,russia,2019-09-08,venezuela,2019090871,Second Round,201971
4,Vitaly Fridzon,22.0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,russia,2019-09-08,venezuela,2019090871,Second Round,201971
5,Andrey Zubkov,21.0,1,7,0,3,2,4,1,3,2,2,1,1,3,4,russia,2019-09-08,venezuela,2019090871,Second Round,201971
6,Evgeny Baburin,19.0,1,2,1,2,1,2,2,3,2,1,0,1,2,4,russia,2019-09-08,venezuela,2019090871,Second Round,201971
7,Mikhail Kulagin,14.0,1,5,1,4,2,2,0,1,0,0,0,2,2,5,russia,2019-09-08,venezuela,2019090871,Second Round,201971
8,Evegeny Valiev,11.0,3,3,0,0,2,4,1,2,0,0,1,0,1,8,russia,2019-09-08,venezuela,2019090871,Second Round,201971
9,Semen Antonov,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,russia,2019-09-08,venezuela,2019090871,Second Round,201971
10,Sergey Karasev,4.0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,russia,2019-09-08,venezuela,2019090871,Second Round,201971
11,Andrei Sopin,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,russia,2019-09-08,venezuela,2019090871,Second Round,201971
12,Totals,,20,51,7,20,22,31,6,34,13,6,2,14,21,69,russia,2019-09-08,venezuela,2019090871,Second Round,201971
0,Heissler Guillent,28.0,3,11,1,3,0,0,0,1,5,0,0,1,3,7,venezuela,2019-09-08,russia,2019090871,Second Round,201971
1,Michael Carrera,26.0,5,11,0,0,9,10,4,10,1,2,2,2,5,19,venezuela,2019-09-08,russia,2019090871,Second Round,201971
2,Miguel Ruiz,25.0,0,3,0,0,0,0,3,7,2,2,0,1,4,0,venezuela,2019-09-08,russia,2019090871,Second Round,201971
3,Jhornan Jose Zamora,22.0,5,13,3,8,0,0,1,1,1,0,0,0,2,13,venezuela,2019-09-08,russia,2019090871,Second Round,201971
4,Gregory Vargas,21.0,1,8,0,1,0,0,1,3,2,2,0,1,2,2,venezuela,2019-09-08,russia,2019090871,Second Round,201971
5,Dwight Lewis,19.0,3,5,0,0,0,0,0,2,1,0,0,1,2,6,venezuela,2019-09-08,russia,2019090871,Second Round,201971
6,Pedro Chourio,18.0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,venezuela,2019-09-08,russia,2019090871,Second Round,201971
7,Luis Bethelmy,16.0,1,5,0,3,3,5,2,6,0,0,0,0,2,5,venezuela,2019-09-08,russia,2019090871,Second Round,201971
8,Nestor Colmenares,16.0,2,6,0,1,2,4,1,1,0,0,0,0,5,6,venezuela,2019-09-08,russia,2019090871,Second Round,201971
9,Jose Vargas,10.0,1,5,0,2,0,0,1,1,0,2,1,1,2,2,venezuela,2019-09-08,russia,2019090871,Second Round,201971
10,Totals,,21,69,4,20,14,19,13,34,12,8,3,8,28,60,venezuela,2019-09-08,russia,2019090871,Second Round,201971
