,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Leandro Barbosa,29.0,6,14,0,3,2,2,0,1,1,0,1,2,2,14,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
1,Anderson Varejao,28.0,7,10,0,0,0,0,2,8,3,1,0,2,2,14,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
2,Bruno Caboclo,25.0,3,9,0,4,0,0,2,3,0,0,0,1,1,6,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
3,Alex Garcia,23.0,1,3,0,1,3,4,0,4,1,2,0,1,2,5,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
4,Marcelo Huertas,22.0,3,9,1,1,0,0,1,4,5,2,0,2,3,7,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
5,Marcus Vinicius,22.0,2,6,0,3,0,0,0,3,0,1,0,2,2,4,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
6,Vitor Benite,21.0,5,9,4,5,7,8,1,4,1,0,0,1,2,21,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
7,Rafa Luz,18.0,1,2,0,1,0,0,0,1,1,0,1,2,0,2,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
8,Cristiano Felicio,8.0,0,2,0,0,0,0,2,2,0,1,0,2,0,0,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
9,Didi Louzada,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
10,Totals,,28,65,5,19,12,14,8,30,12,7,2,15,15,73,brazil,2019-09-09,united-states,2019090979,Second Round,201979,fiba-world-cup
0,Harrison Barnes,27.0,3,6,1,3,3,4,1,2,0,2,0,1,2,10,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
1,Jaylen Brown,26.0,5,9,1,2,0,0,1,4,4,3,0,0,3,11,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
2,Kemba Walker,26.0,6,9,2,4,2,3,0,1,5,1,0,2,1,16,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
3,Joe Harris,24.0,3,5,2,4,0,0,0,2,1,1,0,3,2,8,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
4,Donovan Mitchell,22.0,2,6,0,2,2,2,0,6,7,0,1,1,2,6,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
5,Myles Turner,21.0,8,11,0,0,0,0,1,8,0,2,0,0,1,16,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
6,Marcus Smart,17.0,4,6,1,2,0,0,0,2,1,1,1,1,2,9,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
7,Khris Middleton,15.0,3,7,1,4,2,2,1,6,1,0,0,0,2,9,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
8,Derrick White,14.0,2,6,0,2,0,0,0,0,2,1,0,2,2,4,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
9,Brook Lopez,7.0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
10,Totals,,36,69,8,25,9,11,5,33,21,11,2,10,17,89,united-states,2019-09-09,brazil,2019090979,Second Round,201979,fiba-world-cup
