,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nick Calathes,37.0,11,17,5,9,0,0,1,6,6,3,0,1,2,27,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
1,Kostas Sloukas,36.0,5,13,1,4,5,7,0,1,2,1,0,0,1,16,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
2,Kostas Papanikolaou,24.0,2,8,1,5,0,0,1,3,0,1,0,0,4,5,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
3,Giannis Antetokounmpo,23.0,4,9,0,1,4,8,0,9,4,3,0,4,5,12,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
4,Ioannis Bourousis,21.0,1,2,0,1,0,0,2,4,2,1,0,1,4,2,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
5,Giorgos Printezis,17.0,3,7,0,1,0,0,0,1,4,0,0,0,2,6,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
6,Ioannis Papapetrou,17.0,1,3,0,1,1,3,2,4,1,1,0,0,0,3,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
7,Thanasis Antetokounmpo,13.0,5,7,1,2,0,0,1,1,0,0,0,0,2,11,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
8,Giannoulis Larentzakis,8.0,1,2,0,1,0,0,0,0,2,2,1,2,2,2,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
9,Georgios Papagiannis,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
10,Totals,,33,68,8,25,10,18,7,29,21,12,1,8,22,84,greece,2019-09-09,czech-republic,2019090972,Second Round,201972,fiba-world-cup
0,Tomas Satoransky,37.0,5,12,0,2,3,3,1,8,9,1,0,3,3,13,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
1,Jaromir Bohacik,35.0,8,15,4,7,5,6,0,2,2,1,0,3,4,25,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
2,Vojtech Hruban,30.0,3,10,3,6,2,2,3,5,1,1,0,3,4,11,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
3,Ondrej Balvin,29.0,2,4,0,0,2,2,2,9,0,0,1,3,2,6,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
4,Pavel Pumprla,24.0,0,4,0,1,2,2,0,6,0,0,0,0,0,2,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
5,Patrik Auda,16.0,3,4,0,0,7,7,1,3,0,0,0,3,5,13,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
6,Martin Peterka,16.0,2,7,1,3,0,0,3,5,0,0,0,2,1,5,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
7,Martin Kriz,9.0,1,2,0,1,0,0,0,0,0,0,0,1,1,2,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
8,Jakub Sirina,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
9,Tomas Vyoral,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
10,Totals,,24,58,8,20,21,22,10,38,12,3,1,18,20,77,czech-republic,2019-09-09,greece,2019090972,Second Round,201972,fiba-world-cup
