,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Rokas Giedraitis,28.0,0,3,0,2,2,2,1,3,2,0,2,2,3,2,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
1,Mindaugas Kuzminskas,27.0,6,12,0,4,0,0,1,4,0,1,1,4,2,12,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
2,Jonas Valanciunas,24.0,8,12,0,1,3,4,2,10,1,1,3,0,2,19,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
3,Mantas Kalnietis,24.0,2,5,1,3,0,0,0,2,8,0,0,2,2,5,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
4,Lukas Lekavicius,21.0,8,8,1,1,2,2,0,4,0,0,0,1,1,19,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
5,Edgaras Ulanovas,18.0,2,3,0,0,1,2,1,4,1,2,0,2,2,5,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
6,Paulius Jankunas,15.0,1,5,0,0,2,2,0,3,1,0,0,0,1,4,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
7,Arnas Butkevicius,13.0,2,2,0,0,1,1,0,1,2,0,0,1,0,5,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
8,Jonas Maciulis,11.0,0,1,0,0,1,2,0,1,0,0,0,0,2,1,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
9,Renaldas Seibutis,10.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
10,Marius Grigonis,8.0,1,2,0,0,0,0,0,0,0,1,0,2,3,2,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
11,Totals,,30,54,2,11,12,15,5,33,16,5,6,15,18,74,lithuania,2019-09-09,dominican-republic,2019090973,Second Round,201973
0,Gelvis Solano,31.0,2,10,0,1,0,0,0,2,6,2,0,1,3,4,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
1,Eulis Baez,26.0,2,6,1,3,0,0,2,5,2,2,0,1,1,5,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
2,Rigoberto Mendoza,25.0,5,13,1,5,3,3,1,5,2,0,0,2,0,14,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
3,Sadiel Rojas,24.0,4,6,3,3,0,0,2,6,1,3,0,2,1,11,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
4,Eloy Vargas,23.0,3,4,0,0,2,2,2,3,2,0,0,0,3,8,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
5,Luis Montero,20.0,2,6,0,4,0,0,0,3,1,1,0,3,4,4,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
6,Victor Liz,19.0,2,12,1,4,2,2,1,1,0,0,0,2,2,7,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
7,Ronald Roberts,18.0,1,3,0,0,0,0,1,4,1,0,0,2,2,2,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
8,Dagoberto Pena,11.0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
9,Juan Miguel Suero,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
10,Juan Jose Garcia,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
11,Totals,,21,62,6,21,7,7,9,29,15,8,0,14,18,55,dominican-republic,2019-09-09,lithuania,2019090973,Second Round,201973
