,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Tai Webster,31.0,4,11,2,6,2,2,0,3,3,0,0,4,4,12,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
1,Thomas Abercrombie,31.0,3,5,0,2,5,6,3,6,3,0,1,2,1,11,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
2,Isaac Fotu,30.0,7,11,0,2,3,4,0,5,3,0,0,1,1,17,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
3,Corey Webster,29.0,5,12,2,6,0,0,0,3,5,1,0,1,1,12,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
4,Finn Delaney,21.0,6,6,0,0,0,0,4,7,0,1,0,1,1,12,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
5,Shea Ili,18.0,3,4,0,0,3,3,0,2,4,0,0,2,3,9,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
6,Rob Loe,14.0,6,10,3,5,2,2,2,3,4,1,0,1,4,17,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
7,Tohi Smith-Milner,13.0,4,7,1,3,0,0,2,5,1,1,1,1,3,9,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
8,Ethan Rusbatch,11.0,1,4,1,3,0,0,0,0,0,0,0,1,1,3,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
9,Alex Pledger,1.0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
10,Totals,,39,70,9,27,15,17,11,34,24,4,2,14,22,102,new zealand,2019-09-09,turkey,2019090978,Classification,201978,fiba-world-cup
0,Melih Mahmutoglu,39.0,11,18,3,7,2,2,2,3,5,1,0,0,2,27,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
1,Cedi Osman,36.0,12,21,5,12,3,3,0,6,4,3,0,2,2,32,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
2,James Birsen,32.0,2,8,0,2,4,4,1,6,1,0,0,3,3,8,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
3,Scottie Wilbekin,26.0,6,13,2,5,1,2,1,2,7,1,0,0,2,15,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
4,Semih Erden,25.0,4,6,0,0,4,6,1,2,0,0,0,4,3,12,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
5,Dogus Balbay,24.0,2,2,1,1,0,0,3,4,4,2,0,1,2,5,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
6,Yigit Arslan,8.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
7,Ahmet Tuncer,5.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
8,Ege Arar,5.0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
9,Totals,,38,70,11,27,14,17,8,24,21,7,0,11,19,101,turkey,2019-09-09,new zealand,2019090978,Classification,201978,fiba-world-cup
