,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Adam Waczynski,34.0,4,8,1,4,6,6,0,1,3,0,0,1,1,15,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
1,A.J. Slaughter,33.0,7,14,4,6,1,1,2,2,6,1,0,3,2,19,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
2,Mateusz Ponitka,27.0,3,9,1,4,2,3,2,11,2,2,0,5,4,9,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
3,Damian Kulig,21.0,4,9,2,7,0,0,0,2,4,0,0,1,1,10,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
4,Adam Hrycaniuk,20.0,4,5,0,0,0,0,3,6,1,0,0,3,3,8,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
5,Olek Balcerowski,18.0,0,2,0,2,0,2,0,1,2,1,0,1,1,0,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
6,Michal Sokolowski,18.0,5,7,1,2,0,0,2,3,1,0,2,0,3,11,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
7,Aaron Cel,14.0,1,2,0,0,1,2,0,1,0,0,0,0,2,3,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
8,Lukasz Koszarek,12.0,1,3,1,3,0,0,0,1,0,0,0,1,2,3,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
9,Kamil Laczynski,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
10,Karol Gruszecki,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
11,Dominik Olejniczak,1.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
12,Totals,,29,60,10,29,10,14,10,30,19,4,2,15,19,78,poland,2019-09-10,spain,2019091081,Knockout Stage,201981,fiba-world-cup
0,Ricky Rubio,29.0,7,11,3,4,2,3,1,5,9,1,0,3,1,19,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
1,Rudy Fernandez,27.0,5,6,5,5,1,2,1,4,2,1,0,1,1,16,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
2,Juan Hernangomez,25.0,4,7,3,6,3,4,1,3,1,1,0,0,2,14,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
3,Sergio Llull,25.0,2,8,0,4,0,0,0,3,5,1,0,2,3,4,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
4,Victor Claver,24.0,3,6,0,3,0,0,0,4,2,1,0,1,4,6,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
5,Marc Gasol,24.0,3,8,0,2,4,5,0,2,7,1,0,2,2,10,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
6,Willy Hernangomez,16.0,7,11,0,0,4,6,3,4,1,1,0,2,1,18,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
7,Pau Ribas,13.0,0,2,0,2,1,2,0,0,1,1,0,1,1,1,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
8,Pierre Oriola,13.0,1,3,0,1,0,0,2,4,0,1,0,0,2,2,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
9,Xavi Rabaseda,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
10,Quino Colom,2.0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
11,Javier Beiran,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
12,Totals,,32,64,11,28,15,22,9,30,28,9,0,12,19,90,spain,2019-09-10,poland,2019091081,Knockout Stage,201981,fiba-world-cup
