,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nemanja Bjelica,31.0,5,17,2,7,6,8,2,7,2,2,2,3,2,18,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
1,Nikola Jokic,31.0,6,11,0,2,4,5,3,10,5,1,1,5,1,16,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
2,Stefan Jovic,30.0,3,5,1,3,0,0,1,3,5,1,0,1,2,7,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
3,Bogdan Bogdanovic,30.0,6,13,3,7,6,8,1,4,2,1,1,1,2,21,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
4,Vladimir Lucic,25.0,4,8,0,3,4,4,3,3,1,1,2,0,2,12,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
5,Vasilije Micic,18.0,1,4,0,2,3,3,0,3,1,0,0,2,3,5,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
6,Marko Guduric,15.0,2,4,1,2,0,0,0,0,1,0,0,1,0,5,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
7,Marko Simonovic,11.0,1,2,1,2,0,0,0,2,0,1,0,0,3,3,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
8,Miroslav Raduljica,4.0,0,2,0,0,0,0,2,2,0,1,0,0,1,0,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
9,Nikola Milutinov,3.0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
10,Boban Marjanovic,2.0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
11,Totals,,28,67,8,28,23,28,12,35,17,8,6,15,21,87,serbia,2019-09-10,argentina,2019091080,Knockout Stage,201980
0,Luis Scola,31.0,7,13,2,5,4,5,2,5,2,1,1,1,3,20,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
1,Facu Campazzo,30.0,7,12,3,6,1,3,1,6,12,3,0,5,1,18,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
2,Gabriel Deck,29.0,5,9,0,1,3,4,2,8,1,2,0,2,2,13,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
3,Patricio Garino,28.0,5,9,3,5,2,2,0,1,1,2,0,0,3,15,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
4,Nicolas Laprovittola,25.0,2,8,1,5,3,3,1,2,3,0,0,2,3,8,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
5,Luca Vildoza,15.0,4,6,3,5,0,0,0,1,3,1,0,1,2,11,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
6,Marcos Delia,13.0,2,3,0,0,0,0,0,1,0,0,1,1,2,4,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
7,Maximo Fjellerup,12.0,1,3,0,0,0,0,0,0,0,1,1,0,2,2,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
8,Nicolas Brussino,11.0,2,2,0,0,0,0,0,1,0,0,0,1,1,4,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
9,Agustin Caffaro,5.0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
10,Tayavek Gallizzi,2.0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
11,Totals,,36,67,12,27,13,17,7,26,22,10,3,13,24,97,argentina,2019-09-10,serbia,2019091080,Knockout Stage,201980
