,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Rudy Gobert,34.0,6,12,0,0,9,10,7,16,2,1,3,0,3,21,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
1,Evan Fournier,33.0,9,21,4,8,0,0,0,3,4,0,0,3,1,22,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
2,Nicolas Batum,29.0,2,6,1,4,1,1,2,5,2,0,0,1,1,6,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
3,Nando De Colo,25.0,4,6,1,3,9,10,0,2,1,0,0,2,2,18,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
4,Frank Ntilikina,25.0,5,9,1,3,0,0,0,1,3,1,0,2,2,11,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
5,Andrew Albicy,15.0,2,5,1,3,0,0,0,2,1,1,0,2,1,5,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
6,Amath M'Baye,13.0,1,2,0,1,0,0,1,4,0,0,0,0,3,2,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
7,Louis Labeyrie,12.0,0,1,0,1,0,0,0,4,1,0,0,1,1,0,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
8,Mathias Lessort,10.0,1,1,0,0,1,2,1,2,0,0,1,0,3,3,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
9,Axel Toupane,5.0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
10,Totals,,30,63,8,23,21,25,11,40,14,3,4,11,17,89,france,2019-09-11,united-states,2019091183,Knockout Stage,201983
0,Donovan Mitchell,32.0,12,23,3,6,2,2,2,6,4,2,0,0,3,29,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
1,Harrison Barnes,32.0,1,3,1,1,1,2,0,2,4,1,1,1,0,4,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
2,Kemba Walker,26.0,2,9,0,4,6,8,1,3,0,0,0,4,4,10,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
3,Jaylen Brown,23.0,4,8,0,0,1,1,1,4,1,0,0,1,1,9,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
4,Marcus Smart,22.0,3,5,1,3,4,8,0,0,2,2,0,0,2,11,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
5,Joe Harris,19.0,2,3,1,1,0,0,1,2,2,0,0,1,5,5,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
6,Khris Middleton,18.0,2,7,1,2,0,0,3,5,3,0,0,2,3,5,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
7,Derrick White,12.0,2,3,0,0,0,0,0,1,1,2,0,0,3,4,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
8,Myles Turner,10.0,1,2,0,1,0,0,0,1,0,0,1,2,3,2,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
9,Brook Lopez,5.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
10,Mason Plumlee,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
11,Totals,,29,65,7,20,14,21,8,24,17,7,2,11,24,79,united-states,2019-09-11,france,2019091183,Knockout Stage,201983
