,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Vojtech Hruban,34.0,10,15,4,7,0,0,4,12,3,1,1,0,2,24,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
1,Tomas Satoransky,32.0,8,14,2,4,4,4,1,4,12,0,0,3,0,22,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
2,Jaromir Bohacik,26.0,7,14,5,8,2,2,0,3,2,0,0,0,4,21,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
3,Ondrej Balvin,25.0,4,6,0,0,1,1,1,5,2,0,1,3,3,9,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
4,Pavel Pumprla,23.0,2,8,0,0,1,2,0,3,0,1,0,1,3,5,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
5,Patrik Auda,21.0,0,1,0,0,1,2,0,1,1,2,0,3,4,1,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
6,Martin Peterka,15.0,3,4,1,1,2,2,1,4,1,0,0,1,0,9,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
7,Jakub Sirina,9.0,1,3,1,3,0,2,0,0,2,0,0,1,1,3,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
8,Lukas Palyza,7.0,0,1,0,1,0,0,1,2,2,0,0,0,0,0,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
9,Blake Schilb,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
10,Martin Kriz,4.0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
11,Tomas Vyoral,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
12,Totals,,35,68,13,24,11,15,10,36,27,4,2,12,17,94,czech republic,2019-09-12,poland,2019091284,Placement,201984,fiba-world-cup
0,Mateusz Ponitka,35.0,4,6,2,2,1,2,2,4,2,1,0,3,4,11,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
1,Adam Waczynski,32.0,7,15,3,5,5,5,1,4,4,1,0,2,0,22,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
2,A.J. Slaughter,32.0,5,14,0,3,2,2,1,3,10,1,0,1,1,12,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
3,Aaron Cel,24.0,3,6,3,5,0,0,0,2,0,1,0,0,2,9,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
4,Adam Hrycaniuk,20.0,3,4,0,0,3,5,0,3,1,0,0,1,3,9,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
5,Damian Kulig,20.0,6,8,0,1,0,0,2,7,0,3,3,1,1,12,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
6,Michal Sokolowski,16.0,0,2,0,0,2,2,0,0,1,1,1,0,4,2,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
7,Lukasz Koszarek,10.0,1,2,1,1,0,0,0,0,0,0,0,0,2,3,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
8,Karol Gruszecki,7.0,1,4,0,3,2,2,0,2,0,0,0,0,0,4,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
9,Olek Balcerowski,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
10,Totals,,30,61,9,20,15,18,6,25,18,8,4,8,17,84,poland,2019-09-12,czech republic,2019091284,Placement,201984,fiba-world-cup
