,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kemba Walker,30.0,7,11,3,6,1,2,0,4,8,1,1,2,2,18,united states,2019-09-12,serbia,2019091285,Placement,201985
1,Harrison Barnes,28.0,7,11,2,5,6,6,3,5,4,0,0,0,1,22,united states,2019-09-12,serbia,2019091285,Placement,201985
2,Donovan Mitchell,26.0,4,12,1,4,0,0,3,5,4,1,0,1,4,9,united states,2019-09-12,serbia,2019091285,Placement,201985
3,Myles Turner,24.0,4,8,1,3,1,2,2,5,0,0,2,1,3,10,united states,2019-09-12,serbia,2019091285,Placement,201985
4,Khris Middleton,24.0,6,11,2,4,2,2,1,6,1,1,0,0,2,16,united states,2019-09-12,serbia,2019091285,Placement,201985
5,Joe Harris,22.0,1,6,1,4,1,2,1,3,1,1,0,1,2,4,united states,2019-09-12,serbia,2019091285,Placement,201985
6,Jaylen Brown,16.0,1,6,1,2,1,2,2,3,0,0,0,0,3,4,united states,2019-09-12,serbia,2019091285,Placement,201985
7,Derrick White,11.0,1,4,0,1,0,0,0,0,0,0,0,0,0,2,united states,2019-09-12,serbia,2019091285,Placement,201985
8,Mason Plumlee,9.0,0,0,0,0,2,2,1,3,2,0,0,0,0,2,united states,2019-09-12,serbia,2019091285,Placement,201985
9,Brook Lopez,9.0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,united states,2019-09-12,serbia,2019091285,Placement,201985
10,Totals,,31,71,11,31,16,20,13,36,20,4,3,5,18,89,united states,2019-09-12,serbia,2019091285,Placement,201985
0,Bogdan Bogdanovic,31.0,10,17,7,14,1,2,0,4,6,0,0,2,0,28,serbia,2019-09-12,united states,2019091285,Placement,201985
1,Vladimir Lucic,28.0,3,4,3,3,6,8,1,4,1,0,0,1,3,15,serbia,2019-09-12,united states,2019091285,Placement,201985
2,Stefan Jovic,28.0,4,8,1,3,0,0,1,3,4,2,1,1,5,9,serbia,2019-09-12,united states,2019091285,Placement,201985
3,Vasilije Micic,26.0,4,11,2,6,0,0,0,3,3,0,0,1,1,10,serbia,2019-09-12,united states,2019091285,Placement,201985
4,Nemanja Bjelica,26.0,3,6,2,4,0,0,1,5,2,1,1,1,4,8,serbia,2019-09-12,united states,2019091285,Placement,201985
5,Nikola Jokic,21.0,3,4,0,0,3,4,0,3,7,0,0,0,4,9,serbia,2019-09-12,united states,2019091285,Placement,201985
6,Boban Marjanovic,17.0,3,6,0,0,2,2,1,3,1,0,0,0,2,8,serbia,2019-09-12,united states,2019091285,Placement,201985
7,Nikola Milutinov,16.0,3,5,0,0,1,3,1,2,2,0,0,0,2,7,serbia,2019-09-12,united states,2019091285,Placement,201985
8,Marko Simonovic,7.0,0,2,0,1,0,0,2,4,0,0,0,0,1,0,serbia,2019-09-12,united states,2019091285,Placement,201985
9,Totals,,33,63,15,31,13,19,7,31,26,3,2,6,22,94,serbia,2019-09-12,united states,2019091285,Placement,201985
