,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Mateusz Ponitka,30.0,8,11,1,3,1,1,1,7,0,2,0,4,2,18,poland,2019-09-14,united-states,2019091489,Placement,201989
1,Adam Waczynski,30.0,6,15,3,9,2,2,3,5,1,1,0,0,1,17,poland,2019-09-14,united-states,2019091489,Placement,201989
2,A.J. Slaughter,27.0,6,16,1,5,2,2,0,4,5,2,0,3,1,15,poland,2019-09-14,united-states,2019091489,Placement,201989
3,Michal Sokolowski,21.0,2,5,1,4,2,2,2,3,0,1,0,1,3,7,poland,2019-09-14,united-states,2019091489,Placement,201989
4,Damian Kulig,20.0,3,7,1,2,2,2,1,3,2,0,1,0,3,9,poland,2019-09-14,united-states,2019091489,Placement,201989
5,Aaron Cel,17.0,0,4,0,1,0,0,1,4,1,1,0,0,1,0,poland,2019-09-14,united-states,2019091489,Placement,201989
6,Adam Hrycaniuk,16.0,2,3,0,0,0,0,0,1,1,0,0,0,3,4,poland,2019-09-14,united-states,2019091489,Placement,201989
7,Olek Balcerowski,15.0,1,3,0,1,0,0,1,4,0,0,0,1,0,2,poland,2019-09-14,united-states,2019091489,Placement,201989
8,Lukasz Koszarek,12.0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,poland,2019-09-14,united-states,2019091489,Placement,201989
9,Kamil Laczynski,5.0,0,2,0,1,0,0,1,1,1,1,0,0,2,0,poland,2019-09-14,united-states,2019091489,Placement,201989
10,Dominik Olejniczak,4.0,1,4,0,0,0,0,0,1,0,0,0,0,1,2,poland,2019-09-14,united-states,2019091489,Placement,201989
11,Karol Gruszecki,3.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,poland,2019-09-14,united-states,2019091489,Placement,201989
12,Totals,,29,73,7,27,9,9,10,34,13,9,1,10,18,74,poland,2019-09-14,united-states,2019091489,Placement,201989
0,Donovan Mitchell,32.0,5,6,4,4,2,4,1,3,10,1,0,2,1,16,united-states,2019-09-14,poland,2019091489,Placement,201989
1,Harrison Barnes,31.0,3,9,1,4,3,4,1,6,2,1,0,0,1,10,united-states,2019-09-14,poland,2019091489,Placement,201989
2,Derrick White,27.0,4,7,0,1,4,4,1,2,7,2,0,1,2,12,united-states,2019-09-14,poland,2019091489,Placement,201989
3,Joe Harris,23.0,5,9,2,5,2,2,0,2,1,0,0,2,4,14,united-states,2019-09-14,poland,2019091489,Placement,201989
4,Khris Middleton,23.0,5,8,1,2,2,2,1,6,6,0,0,3,1,13,united-states,2019-09-14,poland,2019091489,Placement,201989
5,Myles Turner,21.0,3,9,1,3,0,2,0,8,0,0,4,2,3,7,united-states,2019-09-14,poland,2019091489,Placement,201989
6,Jaylen Brown,20.0,3,5,2,3,0,0,0,3,3,0,0,1,2,8,united-states,2019-09-14,poland,2019091489,Placement,201989
7,Mason Plumlee,11.0,2,3,0,0,0,1,0,3,0,0,0,2,1,4,united-states,2019-09-14,poland,2019091489,Placement,201989
8,Brook Lopez,10.0,1,5,1,3,0,0,0,1,0,0,0,1,0,3,united-states,2019-09-14,poland,2019091489,Placement,201989
9,Totals,,31,61,12,25,13,19,4,34,29,4,4,14,15,87,united-states,2019-09-14,poland,2019091489,Placement,201989
