,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Rudy Fernandez,29.0,4,10,2,6,1,2,1,10,3,1,0,1,2,11,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
1,Juan Hernangomez,26.0,4,6,1,2,2,3,2,5,1,2,1,0,5,11,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
2,Marc Gasol,25.0,2,9,1,4,9,12,2,7,7,2,3,1,1,14,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
3,Victor Claver,25.0,1,2,0,0,0,0,1,3,2,2,1,1,1,2,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
4,Ricky Rubio,23.0,6,11,1,2,7,7,2,7,3,0,0,6,3,20,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
5,Sergio Llull,23.0,6,13,0,3,3,3,0,0,2,0,0,3,4,15,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
6,Pierre Oriola,16.0,3,5,0,1,0,0,1,7,0,1,0,0,3,6,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
7,Pau Ribas,15.0,1,2,1,2,2,2,0,1,1,0,0,1,5,5,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
8,Willy Hernangomez,14.0,4,6,0,0,3,4,2,3,1,1,3,0,1,11,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
9,Xavi Rabaseda,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
10,Javier Beiran,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
11,Quino Colom,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
12,Totals,,31,65,6,20,27,33,11,44,20,9,8,14,25,95,spain,2019-09-15,argentina,2019091590,Knockout Stage,201990
0,Luis Scola,34.0,1,10,0,5,6,6,0,8,2,1,0,2,4,8,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
1,Facu Campazzo,31.0,2,11,1,5,6,6,0,2,8,4,0,2,3,11,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
2,Gabriel Deck,28.0,10,13,1,3,3,6,1,1,0,0,0,3,0,24,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
3,Nicolas Brussino,24.0,3,3,2,2,0,0,0,2,2,0,0,1,5,8,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
4,Nicolas Laprovittola,24.0,4,15,2,8,7,8,0,1,0,3,0,0,4,17,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
5,Marcos Delia,21.0,1,3,0,0,0,0,1,4,1,0,0,1,2,2,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
6,Luca Vildoza,17.0,0,3,0,3,2,2,0,1,1,2,0,2,4,2,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
7,Patricio Garino,11.0,0,1,0,0,0,0,0,2,0,0,1,2,3,0,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
8,Maximo Fjellerup,3.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
9,Tayavek Gallizzi,3.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
10,Lucio Redivo,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
11,Agustin Caffaro,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
12,Totals,,22,61,7,27,24,28,2,21,15,11,1,14,28,75,argentina,2019-09-15,spain,2019091590,Knockout Stage,201990
