,Date,Team,PTS, ,Opp,OT
0,"Sat, Aug 6, 2016",Australia,66,Group A,France,
1,"Sat, Aug 6, 2016",Venezuela,86,Group A,Serbia,
2,"Sat, Aug 6, 2016",China,119,Group A,United States,
3,"Sun, Aug 7, 2016",Nigeria,94,Group B,Argentina,
4,"Sun, Aug 7, 2016",Brazil,82,Group B,Lithuania,
5,"Sun, Aug 7, 2016",Croatia,70,Group B,Spain,
6,"Mon, Aug 8, 2016",Serbia,95,Group A,Australia,
7,"Mon, Aug 8, 2016",France,60,Group A,China,
8,"Mon, Aug 8, 2016",United States,69,Group A,Venezuela,
9,"Tue, Aug 9, 2016",Spain,66,Group B,Brazil,
10,"Tue, Aug 9, 2016",Argentina,82,Group B,Croatia,
11,"Tue, Aug 9, 2016",Lithuania,80,Group B,Nigeria,
12,"Wed, Aug 10, 2016",Venezuela,68,Group A,China,
13,"Wed, Aug 10, 2016",Serbia,76,Group A,France,
14,"Wed, Aug 10, 2016",Australia,98,Group A,United States,
15,"Thu, Aug 11, 2016",Lithuania,73,Group B,Argentina,
16,"Thu, Aug 11, 2016",Brazil,80,Group B,Croatia,
17,"Thu, Aug 11, 2016",Nigeria,96,Group B,Spain,
18,"Fri, Aug 12, 2016",China,93,Group A,Australia,
19,"Fri, Aug 12, 2016",United States,91,Group A,Serbia,
20,"Fri, Aug 12, 2016",France,56,Group A,Venezuela,
21,"Sat, Aug 13, 2016",Argentina,107,Group B,Brazil,
22,"Sat, Aug 13, 2016",Spain,59,Group B,Lithuania,
23,"Sat, Aug 13, 2016",Croatia,90,Group B,Nigeria,
24,"Sun, Aug 14, 2016",Serbia,60,Group A,China,
25,"Sun, Aug 14, 2016",United States,97,Group A,France,
26,"Sun, Aug 14, 2016",Australia,56,Group A,Venezuela,
27,"Mon, Aug 15, 2016",Spain,73,Group B,Argentina,
28,"Mon, Aug 15, 2016",Nigeria,86,Group B,Brazil,
29,"Mon, Aug 15, 2016",Lithuania,90,Group B,Croatia,
30,"Wed, Aug 17, 2016",United States,78,Quarter-Finals,Argentina,
31,"Wed, Aug 17, 2016",Spain,67,Quarter-Finals,France,
32,"Wed, Aug 17, 2016",Australia,64,Quarter-Finals,Lithuania,
33,"Wed, Aug 17, 2016",Croatia,86,Quarter-Finals,Serbia,
34,"Fri, Aug 19, 2016",Australia,87,Semi-Finals,Serbia,
35,"Fri, Aug 19, 2016",Spain,82,Semi-Finals,United States,
36,"Sun, Aug 21, 2016",Australia,89,Final Round,Spain,
37,"Sun, Aug 21, 2016",Serbia,96,Final Round,United States,
