,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Steve Nash,36.0,6,12,1,2,2,2,1,6,15,0,0,5,2,15,canada,2000-09-17,australia,200009171,Group B,20001
1,Rowan Barrett,33.0,8,16,2,4,3,3,2,5,1,0,0,2,1,21,canada,2000-09-17,australia,200009171,Group B,20001
2,Michael Meeks,26.0,8,12,4,6,7,8,0,1,0,0,0,1,2,27,canada,2000-09-17,australia,200009171,Group B,20001
3,Todd MacCulloch,26.0,4,6,0,0,3,4,3,7,0,1,0,0,2,11,canada,2000-09-17,australia,200009171,Group B,20001
4,Sherman Hamilton,24.0,3,5,0,0,1,3,0,0,0,0,2,1,0,7,canada,2000-09-17,australia,200009171,Group B,20001
5,Peter Guarasci,20.0,1,1,0,0,6,6,0,2,1,0,0,1,5,8,canada,2000-09-17,australia,200009171,Group B,20001
6,Andrew Mavis,20.0,3,7,0,3,1,1,1,2,1,0,0,0,0,7,canada,2000-09-17,australia,200009171,Group B,20001
7,Greg Newton,7.0,1,2,0,0,0,0,1,1,0,0,0,0,4,2,canada,2000-09-17,australia,200009171,Group B,20001
8,David Daniels,4.0,1,1,1,1,0,0,0,0,0,0,1,1,1,3,canada,2000-09-17,australia,200009171,Group B,20001
9,Shawn Swords,2.0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,canada,2000-09-17,australia,200009171,Group B,20001
10,Eric Hinrichsen,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canada,2000-09-17,australia,200009171,Group B,20001
11,Totals,,35,62,8,16,23,27,8,24,18,1,3,12,20,101,canada,2000-09-17,australia,200009171,Group B,20001
0,Andrew Gaze,38.0,7,11,3,7,7,7,1,4,1,0,0,1,1,24,australia,2000-09-17,canada,200009171,Group B,20001
1,Sam MacKinnon,31.0,6,7,1,1,1,4,0,0,1,0,0,2,4,14,australia,2000-09-17,canada,200009171,Group B,20001
2,Mark Bradtke,29.0,2,4,0,1,0,0,1,5,1,1,1,1,5,4,australia,2000-09-17,canada,200009171,Group B,20001
3,Shane Heal,27.0,5,11,2,6,2,2,0,1,1,0,0,2,1,14,australia,2000-09-17,canada,200009171,Group B,20001
4,Luc Longley,26.0,3,10,0,0,2,2,3,5,7,0,0,2,5,8,australia,2000-09-17,canada,200009171,Group B,20001
5,Ricky Grace,15.0,5,7,3,3,0,0,0,0,2,0,0,1,0,13,australia,2000-09-17,canada,200009171,Group B,20001
6,Chris Anstey,14.0,4,7,0,0,3,4,1,3,1,1,0,0,2,11,australia,2000-09-17,canada,200009171,Group B,20001
7,Andrew Vlahov,11.0,0,0,0,0,0,0,1,2,1,0,1,1,2,0,australia,2000-09-17,canada,200009171,Group B,20001
8,Paul Rogers,9.0,1,1,0,0,0,0,0,0,0,0,1,3,5,2,australia,2000-09-17,canada,200009171,Group B,20001
9,Totals,,33,58,9,18,15,19,7,20,15,2,3,13,25,90,australia,2000-09-17,canada,200009171,Group B,20001
