,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Ralph Lattimore,30.0,3,5,0,2,2,2,1,5,2,0,0,2,2,8,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
1,Pero Cameron,25.0,3,11,1,5,1,2,3,4,4,2,0,2,2,8,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
2,Mark Dickel,23.0,0,2,0,2,2,2,1,4,3,0,0,4,2,2,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
3,Tony Rampton,20.0,0,6,0,0,2,4,1,3,0,0,0,1,3,2,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
4,Sean Marks,19.0,2,8,0,0,8,9,2,7,0,0,0,1,5,12,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
5,Brad Riley,17.0,2,3,0,0,0,2,0,2,1,1,0,0,2,4,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
6,Phill Jones,17.0,1,6,1,2,0,0,0,2,0,0,0,1,4,3,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
7,Paul Henare,17.0,1,2,0,1,0,0,0,1,0,1,0,1,0,2,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
8,Kirk Penney,13.0,0,3,0,2,2,2,1,1,0,1,1,1,0,2,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
9,Rob Hickey,10.0,2,6,0,0,0,0,1,2,0,0,0,1,2,4,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
10,Peter Pokai,6.0,1,2,0,0,1,2,2,2,0,0,0,1,1,3,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
11,Nenad Vucinic,6.0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
12,Totals,,15,56,2,15,18,25,14,35,10,5,1,15,23,50,new zealand,2000-09-17,france,200009173,Group A,20003,mens-olympics
0,Antoine Rigaudeau,29.0,1,6,1,3,3,4,0,4,5,3,0,2,1,6,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
1,Yann Bonato,26.0,6,10,2,3,2,5,1,3,1,0,0,3,3,16,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
2,Frederic Weis,24.0,2,3,0,0,3,4,1,3,0,0,0,0,2,7,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
3,Stephane Risacher,21.0,3,5,1,1,2,4,0,2,3,0,0,1,1,9,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
4,Jim Bilba,20.0,1,2,0,1,2,2,0,4,0,2,0,0,0,4,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
5,Cyril Julian,18.0,5,6,0,0,2,2,0,1,0,1,0,0,3,12,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
6,Moustapha Sonko,17.0,2,5,0,1,1,2,0,2,5,1,1,2,1,5,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
7,Laurent Foirest,15.0,3,6,1,3,3,3,0,3,3,2,0,2,3,10,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
8,Crawford Palmer,14.0,1,3,0,0,1,1,1,2,2,0,2,0,5,3,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
9,Laurent Sciarra,8.0,0,1,0,1,0,0,0,1,1,1,0,0,3,0,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
10,Thierry Gadou,4.0,1,1,1,1,0,0,0,1,0,0,0,2,1,3,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
11,Makan Dioumassi,4.0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
12,Totals,,25,48,6,14,20,29,3,27,20,11,3,12,23,76,france,2000-09-17,new zealand,200009173,Group A,20003,mens-olympics
