,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Predrag Danilovic,33.0,5,10,0,3,4,7,2,5,1,0,0,0,2,14,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
1,Zeljko Rebraca,31.0,6,12,0,0,6,6,0,5,0,0,0,3,2,18,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
2,Dejan Bodiroga,29.0,1,4,0,0,4,7,2,5,1,0,0,4,2,6,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
3,Dejan Tomasevic,25.0,5,9,0,0,3,4,2,5,2,0,0,1,4,13,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
4,Dragan Lukovski,22.0,1,2,0,0,2,3,0,1,3,0,0,2,2,4,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
5,Vlado Scepanovic,19.0,0,1,0,0,2,2,0,1,0,1,0,2,3,2,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
6,Predrag Drobnjak,18.0,3,7,0,1,2,2,5,6,0,1,2,1,2,8,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
7,Sasa Obradovic,18.0,0,3,0,1,1,2,0,0,3,0,0,1,1,1,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
8,Totals,,21,48,0,5,24,33,11,28,10,2,2,14,18,66,serbia and montenegro,2000-09-17,russia,200009175,Group B,20005
0,Evgeny Pashutin,37.0,4,6,0,1,2,4,1,5,2,3,0,1,3,10,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
1,Zakhar Pashutin,30.0,2,7,0,1,2,4,1,3,0,0,0,2,4,6,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
2,Andrei Kirilenko,29.0,3,4,0,0,4,4,1,5,2,2,0,0,4,10,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
3,Sergei Chikalkin,24.0,2,6,0,2,2,2,0,1,2,0,3,1,2,6,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
4,Ruslan Avleev,23.0,3,6,0,1,2,2,0,2,0,0,0,0,4,8,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
5,Sergey Panov,21.0,4,8,1,3,4,6,4,5,1,0,0,4,5,13,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
6,Andrei Fetisov,17.0,1,3,1,1,0,0,0,3,0,1,0,4,0,3,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
7,Nikita Morgunov,16.0,2,9,0,2,0,0,1,3,0,0,0,0,4,4,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
8,Sergey Bazarevitch,3.0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
9,Totals,,21,51,2,11,16,22,8,27,7,7,3,12,26,60,russia,2000-09-17,serbia and montenegro,200009175,Group B,20005
