,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Rowan Barrett,21.0,6,9,2,4,7,7,1,4,0,0,0,1,1,21,canada,2000-09-19,angola,200009196,Group B,20006
1,Sherman Hamilton,21.0,3,5,2,3,1,1,0,2,3,2,0,2,2,9,canada,2000-09-19,angola,200009196,Group B,20006
2,Peter Guarasci,20.0,5,7,0,0,1,1,2,5,1,1,0,0,3,11,canada,2000-09-19,angola,200009196,Group B,20006
3,Michael Meeks,20.0,0,1,0,0,4,4,1,6,0,0,1,4,0,4,canada,2000-09-19,angola,200009196,Group B,20006
4,Shawn Swords,19.0,0,1,0,0,1,2,1,7,5,1,0,3,1,1,canada,2000-09-19,angola,200009196,Group B,20006
5,Todd MacCulloch,17.0,2,4,0,0,4,5,0,3,0,0,0,0,0,8,canada,2000-09-19,angola,200009196,Group B,20006
6,David Daniels,17.0,1,3,0,2,1,2,0,1,4,2,0,1,1,3,canada,2000-09-19,angola,200009196,Group B,20006
7,Steve Nash,16.0,4,7,1,2,0,0,0,2,5,0,0,0,1,9,canada,2000-09-19,angola,200009196,Group B,20006
8,Andrew Mavis,15.0,4,7,2,4,1,2,1,1,0,1,0,2,1,11,canada,2000-09-19,angola,200009196,Group B,20006
9,Greg Newton,14.0,4,5,0,1,2,4,0,5,1,0,0,2,2,10,canada,2000-09-19,angola,200009196,Group B,20006
10,Greg Francis,11.0,4,5,2,3,0,0,0,1,0,0,0,1,1,10,canada,2000-09-19,angola,200009196,Group B,20006
11,Eric Hinrichsen,9.0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,canada,2000-09-19,angola,200009196,Group B,20006
12,Totals,,34,55,9,19,22,28,6,38,19,7,1,16,13,99,canada,2000-09-19,angola,200009196,Group B,20006
0,David Dias,30.0,3,10,0,1,1,2,1,2,2,1,0,2,3,7,angola,2000-09-19,canada,200009196,Group B,20006
1,Angelo Victoriano,28.0,2,13,0,7,0,0,4,7,1,0,0,2,3,4,angola,2000-09-19,canada,200009196,Group B,20006
2,Victor de Carvalho,26.0,4,6,2,3,0,1,0,1,1,0,0,0,1,10,angola,2000-09-19,canada,200009196,Group B,20006
3,Miguel Lutonda,26.0,4,9,0,4,0,0,1,2,3,2,0,3,2,8,angola,2000-09-19,canada,200009196,Group B,20006
4,Carlos Almeida,22.0,0,5,0,4,2,2,0,2,1,0,0,1,4,2,angola,2000-09-19,canada,200009196,Group B,20006
5,Victor Muzadi,19.0,3,7,0,1,2,2,2,5,2,1,0,1,4,8,angola,2000-09-19,canada,200009196,Group B,20006
6,Garcia Domingos,17.0,2,5,0,3,0,0,0,1,1,0,0,3,3,4,angola,2000-09-19,canada,200009196,Group B,20006
7,Anibal Moreira,14.0,2,6,2,3,0,0,0,0,1,0,0,0,0,6,angola,2000-09-19,canada,200009196,Group B,20006
8,Belarmino Chipongue,14.0,2,4,1,2,0,0,0,1,0,0,0,1,2,5,angola,2000-09-19,canada,200009196,Group B,20006
9,Buila Katiavala,4.0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,angola,2000-09-19,canada,200009196,Group B,20006
10,Totals,,22,66,5,28,5,7,9,22,12,4,1,13,23,54,angola,2000-09-19,canada,200009196,Group B,20006
