,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Sean Marks,28.0,6,13,0,0,1,5,4,9,3,0,0,5,2,13,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
1,Ralph Lattimore,25.0,3,9,1,2,1,1,2,3,1,0,0,1,2,8,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
2,Mark Dickel,22.0,4,9,2,3,3,3,0,4,4,0,0,0,2,13,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
3,Phill Jones,21.0,4,11,1,2,2,2,1,3,0,1,1,1,0,11,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
4,Pero Cameron,21.0,1,5,1,3,0,0,0,1,1,2,0,2,2,3,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
5,Brad Riley,20.0,0,1,0,0,1,2,0,0,0,0,0,0,2,1,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
6,Kirk Penney,15.0,3,6,0,1,0,0,0,0,0,0,0,0,1,6,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
7,Paul Henare,14.0,0,1,0,0,0,0,1,2,1,1,1,0,1,0,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
8,Tony Rampton,13.0,0,2,0,0,2,2,1,1,0,0,0,2,3,2,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
9,Rob Hickey,9.0,0,1,0,0,2,2,1,2,1,0,0,0,2,2,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
10,Peter Pokai,7.0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
11,Nenad Vucinic,4.0,0,0,0,0,1,2,1,2,0,0,1,0,0,1,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
12,Totals,,21,60,5,12,13,19,11,28,11,4,3,11,17,60,new zealand,2000-09-19,china,200009198,Group A,20008,mens-olympics
0,Wang Zhizhi,28.0,5,9,0,2,9,9,3,5,1,1,1,0,0,19,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
1,Sun Jun,27.0,2,5,0,2,0,0,1,4,4,0,2,0,1,4,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
2,Hu Weidong,26.0,5,19,3,8,3,3,0,3,4,1,0,0,0,16,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
3,Yao Ming,23.0,3,4,0,0,2,2,4,8,2,0,0,5,4,8,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
4,Guo Shiqiang,21.0,1,4,1,4,2,2,0,2,3,0,1,4,2,5,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
5,Li Xiaoyong,19.0,0,4,0,2,0,0,0,2,2,0,0,0,1,0,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
6,Bateer Mengke,17.0,1,2,0,0,0,0,2,6,1,1,0,1,5,2,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
7,Zhang Jinsong,14.0,3,8,3,5,0,0,0,0,1,0,4,0,2,9,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
8,Li Nan,13.0,1,3,1,3,1,1,0,2,1,0,0,1,4,4,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
9,Liu Yudong,12.0,4,6,0,0,0,0,0,1,0,1,0,1,1,8,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
10,Totals,,25,64,8,26,17,17,10,33,19,4,8,12,20,75,china,2000-09-19,new zealand,200009198,Group A,20008,mens-olympics
