,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Andrei Kirilenko,35.0,6,11,0,2,4,5,5,9,0,1,0,1,3,16,russia,2000-09-19,spain,2000091911,Group B,200011
1,Evgeny Pashutin,33.0,4,4,0,0,2,2,0,3,5,0,0,1,4,10,russia,2000-09-19,spain,2000091911,Group B,200011
2,Sergei Chikalkin,27.0,8,13,4,5,3,5,0,5,0,0,0,2,3,23,russia,2000-09-19,spain,2000091911,Group B,200011
3,Ruslan Avleev,25.0,1,4,0,1,1,1,0,8,0,1,0,2,3,3,russia,2000-09-19,spain,2000091911,Group B,200011
4,Alexandr Bashminov,22.0,4,8,0,0,0,0,0,2,0,1,3,0,5,8,russia,2000-09-19,spain,2000091911,Group B,200011
5,Zakhar Pashutin,22.0,0,3,0,0,0,0,1,3,2,0,0,4,5,0,russia,2000-09-19,spain,2000091911,Group B,200011
6,Sergey Panov,13.0,0,2,0,0,4,4,2,6,0,1,0,1,1,4,russia,2000-09-19,spain,2000091911,Group B,200011
7,Andrei Fetisov,10.0,1,6,0,5,2,2,0,1,0,0,0,1,2,4,russia,2000-09-19,spain,2000091911,Group B,200011
8,Sergey Bazarevitch,7.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,russia,2000-09-19,spain,2000091911,Group B,200011
9,Nikita Morgunov,4.0,1,3,1,1,0,0,1,1,0,0,3,2,0,3,russia,2000-09-19,spain,2000091911,Group B,200011
10,Valentin Kubrakov,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,russia,2000-09-19,spain,2000091911,Group B,200011
11,Totals,,25,56,5,14,16,19,9,38,7,4,8,14,27,71,russia,2000-09-19,spain,2000091911,Group B,200011
0,Alberto Herreros,33.0,3,9,2,3,5,6,0,0,2,1,0,4,3,13,spain,2000-09-19,russia,2000091911,Group B,200011
1,Alfonso Reyes,26.0,2,9,0,0,1,4,3,5,1,0,0,1,3,5,spain,2000-09-19,russia,2000091911,Group B,200011
2,Rodrigo De La Fuente,23.0,1,2,1,1,2,4,0,1,1,1,0,2,4,5,spain,2000-09-19,russia,2000091911,Group B,200011
3,Ignacio Rodriguez,22.0,0,2,0,0,3,4,3,3,1,2,0,0,3,3,spain,2000-09-19,russia,2000091911,Group B,200011
4,Raul Lopez,18.0,2,3,2,2,2,2,1,1,1,0,0,1,2,8,spain,2000-09-19,russia,2000091911,Group B,200011
5,Ignacio De Miguel,18.0,1,2,0,0,3,4,0,4,1,0,0,0,5,5,spain,2000-09-19,russia,2000091911,Group B,200011
6,Carlos Jimenez,18.0,0,3,0,2,0,0,0,2,1,1,0,2,3,0,spain,2000-09-19,russia,2000091911,Group B,200011
7,Juan Carlos Navarro,15.0,4,6,1,1,0,0,0,1,0,0,0,0,0,9,spain,2000-09-19,russia,2000091911,Group B,200011
8,Johnny Rogers,14.0,2,6,1,4,4,6,0,6,0,0,0,1,1,9,spain,2000-09-19,russia,2000091911,Group B,200011
9,Roberto Duenas,14.0,3,9,0,0,0,0,1,3,0,0,0,1,0,6,spain,2000-09-19,russia,2000091911,Group B,200011
10,Totals,,18,51,7,13,20,30,8,26,8,5,0,12,24,63,spain,2000-09-19,russia,2000091911,Group B,200011
