,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Dejan Bodiroga,35.0,8,11,0,0,3,3,0,3,6,0,0,2,0,19,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
1,Predrag Danilovic,33.0,7,13,1,2,1,2,1,4,3,2,0,1,3,16,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
2,Dejan Tomasevic,29.0,3,5,0,0,0,2,4,8,3,0,0,1,3,6,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
3,Dragan Tarlac,24.0,4,6,0,0,1,2,3,4,1,0,0,0,4,9,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
4,Sasa Obradovic,24.0,3,10,3,7,0,0,1,3,2,0,0,0,4,9,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
5,Zeljko Rebraca,23.0,1,4,0,0,6,10,5,7,1,2,0,0,1,8,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
6,Dragan Lukovski,16.0,2,6,0,2,1,2,0,0,1,1,1,1,0,5,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
7,Vlado Scepanovic,10.0,2,7,2,6,0,0,0,1,0,0,0,0,0,6,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
8,Igor Rakocevic,3.0,1,3,0,1,0,0,0,1,0,1,0,0,0,2,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
9,Nikola Jestratijevic,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
10,Predrag Drobnjak,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
11,Totals,,31,65,6,18,12,21,14,32,17,6,1,5,15,80,serbia and montenegro,2000-09-19,australia,200009197,Group B,20007,mens-olympics
0,Shane Heal,38.0,8,16,1,8,1,2,0,3,6,0,0,3,2,18,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
1,Andrew Gaze,34.0,7,11,4,7,3,3,0,2,3,0,0,3,2,21,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
2,Sam MacKinnon,28.0,2,4,0,0,0,0,0,4,0,0,1,0,3,4,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
3,Mark Bradtke,28.0,1,3,0,0,0,0,0,4,3,0,1,0,4,2,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
4,Luc Longley,25.0,3,6,0,0,0,0,1,5,3,0,0,2,4,6,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
5,Chris Anstey,24.0,4,7,0,0,4,6,1,4,0,1,1,5,1,12,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
6,Andrew Vlahov,10.0,1,2,0,0,1,1,1,2,1,0,0,0,2,3,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
7,Jason Smith,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
8,Ricky Grace,4.0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
9,Paul Rogers,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
10,Totals,,26,50,5,15,9,12,3,25,18,1,5,14,20,66,australia,2000-09-19,serbia and montenegro,200009197,Group B,20007,mens-olympics
