,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Alonzo Mourning,21.0,6,9,0,1,0,1,0,3,2,0,0,0,1,12,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
1,Jason Kidd,21.0,2,4,0,0,0,0,2,6,7,2,0,1,2,4,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
2,Vince Carter,20.0,4,6,0,1,5,8,2,2,1,1,0,2,3,13,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
3,Gary Payton,20.0,2,3,0,1,1,2,0,3,4,2,0,2,3,5,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
4,Tim Hardaway,17.0,2,3,2,3,0,0,0,1,0,1,0,0,1,6,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
5,Vin Baker,16.0,4,6,0,0,3,7,1,1,0,0,0,1,1,11,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
6,Ray Allen,16.0,3,5,1,2,2,2,0,1,0,1,6,0,2,9,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
7,Kevin Garnett,16.0,2,4,0,0,0,0,2,9,3,1,0,0,1,4,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
8,Antonio McDyess,15.0,4,5,0,0,0,1,0,5,0,1,0,1,2,8,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
9,Steve Smith,13.0,1,3,1,2,1,2,0,2,0,0,0,3,5,4,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
10,Shareef Abdur-Rahim,12.0,2,3,0,0,5,7,1,7,1,0,0,0,2,9,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
11,Allan Houston,12.0,3,4,2,2,0,0,0,1,0,0,0,0,0,8,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
12,Totals,,35,55,6,12,17,30,8,41,18,9,6,10,23,93,united states,2000-09-19,italy,2000091910,Group A,200010,mens-olympics
0,Andrea Meneghin,27.0,2,16,1,9,0,0,1,6,4,0,0,2,2,5,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
1,Carlton Myers,24.0,2,9,2,7,5,7,0,1,2,0,0,2,2,11,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
2,Roberto Chiacig,23.0,5,6,0,0,0,3,1,2,0,0,0,1,4,10,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
3,Giacomo Galanda,21.0,3,7,1,3,1,1,2,3,2,1,0,1,4,8,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
4,Gregor Fucka,20.0,2,5,0,1,4,7,2,3,0,0,1,1,2,8,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
5,Gianluca Basile,20.0,0,5,0,2,2,4,1,2,2,1,0,0,2,2,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
6,Alessandro Abbio,18.0,2,7,1,5,0,0,0,2,3,0,0,0,4,5,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
7,Marcelo Damiao,18.0,0,2,0,0,0,0,1,2,0,0,0,2,3,0,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
8,Denis Marconato,13.0,3,3,0,0,1,2,2,3,0,0,0,0,3,7,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
9,Michele Mian,13.0,2,4,1,3,0,0,2,3,0,1,0,2,0,5,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
10,Agostino Li Vecchi,3.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
11,Totals,,21,64,6,30,13,24,12,28,13,3,1,12,26,61,italy,2000-09-19,united states,2000091910,Group A,200010,mens-olympics
