,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Antoine Rigaudeau,35.0,11,19,6,11,1,2,1,4,2,1,0,3,3,29,france,2000-09-21,china,2000092115,Group A,200015
1,Jim Bilba,31.0,3,10,1,1,0,0,2,7,3,4,0,0,2,7,france,2000-09-21,china,2000092115,Group A,200015
2,Laurent Foirest,26.0,5,9,2,5,10,12,0,4,0,0,0,3,4,22,france,2000-09-21,china,2000092115,Group A,200015
3,Cyril Julian,24.0,4,9,0,0,3,4,5,7,0,0,0,0,3,11,france,2000-09-21,china,2000092115,Group A,200015
4,Stephane Risacher,24.0,5,6,0,0,0,0,0,0,3,2,0,3,5,10,france,2000-09-21,china,2000092115,Group A,200015
5,Frederic Weis,22.0,0,6,0,0,0,0,2,4,1,0,0,0,3,0,france,2000-09-21,china,2000092115,Group A,200015
6,Laurent Sciarra,22.0,0,3,0,2,0,0,2,3,6,4,1,0,3,0,france,2000-09-21,china,2000092115,Group A,200015
7,Yann Bonato,12.0,1,4,0,1,1,2,1,1,1,1,1,0,2,3,france,2000-09-21,china,2000092115,Group A,200015
8,Crawford Palmer,4.0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,france,2000-09-21,china,2000092115,Group A,200015
9,Totals,,29,69,9,20,15,20,13,30,16,12,2,10,27,82,france,2000-09-21,china,2000092115,Group A,200015
0,Guo Shiqiang,34.0,3,6,1,1,3,4,0,4,4,1,3,5,3,10,china,2000-09-21,france,2000092115,Group A,200015
1,Hu Weidong,27.0,2,5,2,5,6,6,0,0,1,0,0,4,0,12,china,2000-09-21,france,2000092115,Group A,200015
2,Yao Ming,26.0,5,8,0,0,4,6,1,6,0,1,3,2,4,14,china,2000-09-21,france,2000092115,Group A,200015
3,Wang Zhizhi,26.0,4,7,1,1,0,0,0,10,0,0,0,5,0,9,china,2000-09-21,france,2000092115,Group A,200015
4,Zheng Wu,19.0,0,1,0,0,10,10,2,3,1,0,0,1,2,10,china,2000-09-21,france,2000092115,Group A,200015
5,Bateer Mengke,17.0,1,2,0,0,5,8,0,2,1,0,3,1,2,7,china,2000-09-21,france,2000092115,Group A,200015
6,Sun Jun,16.0,0,3,0,1,1,2,1,2,0,1,0,1,3,1,china,2000-09-21,france,2000092115,Group A,200015
7,Zhang Jinsong,13.0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,china,2000-09-21,france,2000092115,Group A,200015
8,Liu Yudong,12.0,2,6,1,1,2,4,1,1,0,1,0,0,1,7,china,2000-09-21,france,2000092115,Group A,200015
9,Li Xiaoyong,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2000-09-21,france,2000092115,Group A,200015
10,Li Nan,5.0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,china,2000-09-21,france,2000092115,Group A,200015
11,Totals,,17,39,5,10,31,40,5,31,7,4,9,21,19,70,china,2000-09-21,france,2000092115,Group A,200015
