,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dejan Tomasevic,27.0,6,6,0,0,5,8,1,11,2,0,0,3,1,17,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
1,Vlado Scepanovic,27.0,3,8,3,8,0,0,0,1,0,0,0,1,4,9,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
2,Peja Stojakovic,23.0,4,7,1,3,2,2,2,6,0,0,0,1,1,11,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
3,Igor Rakocevic,20.0,2,3,0,0,2,4,0,2,2,0,1,1,1,6,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
4,Predrag Drobnjak,20.0,1,2,0,0,2,2,0,3,1,0,0,0,5,4,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
5,Dragan Lukovski,19.0,1,2,0,0,3,4,0,3,4,0,0,2,1,5,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
6,Dragan Tarlac,14.0,3,4,0,0,2,3,1,3,2,0,0,1,1,8,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
7,Dejan Bodiroga,13.0,2,4,0,0,0,0,1,2,2,1,0,0,1,4,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
8,Sasa Obradovic,11.0,1,3,1,2,0,0,0,1,1,1,0,1,1,3,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
9,Nikola Jestratijevic,11.0,0,2,0,0,1,2,0,2,0,0,0,1,1,1,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
10,Zeljko Rebraca,8.0,2,2,0,0,1,2,0,2,0,0,0,0,0,5,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
11,Predrag Danilovic,6.0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
12,Totals,,25,45,5,14,18,27,5,36,14,2,2,13,18,73,serbia and montenegro,2000-09-21,angola,2000092112,Group B,200012
0,Angelo Victoriano,35.0,3,13,2,6,2,4,1,5,2,1,0,0,2,10,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
1,Miguel Lutonda,35.0,2,8,1,4,5,6,2,6,6,0,0,2,4,10,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
2,Victor de Carvalho,35.0,3,7,2,5,0,0,0,2,1,0,0,2,2,8,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
3,David Dias,31.0,4,7,0,1,1,2,0,2,0,0,0,0,5,9,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
4,Belarmino Chipongue,20.0,5,8,5,8,0,0,0,1,0,0,0,0,3,15,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
5,Anibal Moreira,13.0,0,1,0,0,2,2,0,1,0,1,0,0,2,2,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
6,Edmar Victoriano,12.0,1,5,0,1,0,0,0,1,1,1,0,0,1,2,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
7,Carlos Almeida,7.0,1,2,0,0,2,2,0,0,1,0,2,0,0,4,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
8,Victor Muzadi,6.0,1,2,0,0,0,0,0,2,0,0,0,1,4,2,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
9,Garcia Domingos,5.0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
10,Herlander Coimbra,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
11,Totals,,21,55,10,26,12,16,3,20,11,3,2,6,23,64,angola,2000-09-21,serbia and montenegro,2000092112,Group B,200012
