,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Johnny Rogers,30.0,6,10,2,4,1,1,2,5,0,0,0,1,3,15,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
1,Jorge Garbajosa,29.0,3,6,0,0,0,3,4,6,1,2,0,1,4,6,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
2,Rodrigo De La Fuente,26.0,5,10,3,4,0,0,3,6,3,0,0,3,0,13,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
3,Alberto Herreros,24.0,4,8,2,4,0,0,0,0,1,0,0,4,3,10,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
4,Juan Carlos Navarro,22.0,2,7,1,3,4,4,0,0,0,0,0,0,0,9,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
5,Raul Lopez,22.0,4,8,1,4,0,0,0,0,4,0,0,2,1,9,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
6,Ignacio Rodriguez,18.0,2,3,0,1,2,2,1,2,3,2,0,0,0,6,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
7,Ignacio De Miguel,14.0,0,2,0,0,2,4,0,1,0,1,0,0,4,2,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
8,Alberto Angulo,7.0,2,4,0,1,3,4,0,0,0,0,0,0,0,7,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
9,Alfonso Reyes,6.0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
10,Totals,,28,58,9,21,12,18,10,21,12,5,0,14,18,77,spain,2000-09-21,canada,2000092114,Group B,200014,mens-olympics
0,Steve Nash,25.0,3,8,1,2,0,0,0,0,5,0,1,6,2,7,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
1,Rowan Barrett,24.0,5,8,3,5,2,2,0,2,0,0,0,2,3,15,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
2,Sherman Hamilton,24.0,0,2,0,2,2,3,0,2,2,1,0,0,3,2,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
3,Michael Meeks,23.0,8,8,4,4,4,4,2,5,1,0,0,1,2,24,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
4,Peter Guarasci,21.0,5,7,0,0,7,8,3,6,0,0,0,1,1,17,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
5,Andrew Mavis,18.0,0,3,0,2,0,0,0,0,2,0,0,0,1,0,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
6,Greg Newton,17.0,4,5,0,0,2,4,2,2,0,0,1,2,1,10,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
7,Todd MacCulloch,16.0,4,4,0,0,0,0,0,5,1,1,0,0,2,8,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
8,David Daniels,15.0,1,2,1,2,0,0,0,0,2,1,0,1,3,3,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
9,Greg Francis,7.0,1,3,1,2,0,0,0,1,0,0,0,0,1,3,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
10,Shawn Swords,7.0,1,2,0,0,0,0,1,1,0,0,0,3,0,2,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
11,Eric Hinrichsen,3.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
12,Totals,,32,52,10,19,17,21,8,25,13,3,2,18,19,91,canada,2000-09-21,spain,2000092114,Group B,200014,mens-olympics
