,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dragan Tarlac,35.0,5,8,0,0,3,4,4,7,0,0,0,3,3,13,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
1,Dejan Bodiroga,33.0,5,12,0,1,3,5,1,3,3,0,0,1,2,13,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
2,Dejan Tomasevic,25.0,4,6,0,0,2,3,3,7,2,2,0,1,4,10,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
3,Predrag Danilovic,24.0,7,10,0,2,6,7,2,3,0,1,0,1,3,20,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
4,Peja Stojakovic,23.0,3,10,1,4,0,0,0,3,1,0,0,2,2,7,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
5,Dragan Lukovski,21.0,2,3,1,2,3,4,0,1,4,0,0,0,4,8,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
6,Sasa Obradovic,19.0,1,4,0,2,0,0,0,3,2,1,0,1,5,2,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
7,Zeljko Rebraca,16.0,1,2,0,0,0,0,0,2,0,0,0,0,4,2,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
8,Predrag Drobnjak,4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
9,Totals,,28,55,2,11,17,23,10,29,12,4,1,10,28,75,serbia and montenegro,2000-09-25,canada,2000092526,Group B,200026
0,Steve Nash,36.0,6,12,4,6,10,10,1,8,8,1,0,1,3,26,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
1,Rowan Barrett,32.0,4,8,0,1,1,3,1,2,1,0,0,2,4,9,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
2,Todd MacCulloch,28.0,9,13,0,0,3,6,2,4,0,0,0,1,4,21,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
3,Michael Meeks,26.0,4,8,0,1,4,6,2,4,0,0,0,4,2,12,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
4,Sherman Hamilton,25.0,4,10,2,2,0,0,3,3,1,0,4,0,1,10,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
5,Peter Guarasci,18.0,0,0,0,0,1,6,1,1,0,0,0,0,3,1,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
6,Shawn Swords,15.0,1,1,0,0,0,0,1,2,2,0,0,0,2,2,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
7,Andrew Mavis,8.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
8,Greg Newton,8.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
9,David Daniels,4.0,0,1,0,1,2,2,0,0,1,0,0,0,0,2,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
10,Totals,,28,55,6,13,21,33,11,25,13,1,5,9,19,83,canada,2000-09-25,serbia and montenegro,2000092526,Group B,200026
