,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Alberto Herreros,40.0,7,14,5,8,5,6,1,2,2,1,0,2,0,24,spain,2000-09-25,australia,2000092525,Group B,200025
1,Carlos Jimenez,23.0,4,5,3,3,1,4,1,2,4,1,0,1,3,12,spain,2000-09-25,australia,2000092525,Group B,200025
2,Johnny Rogers,23.0,5,6,2,2,0,0,1,2,0,0,0,0,5,12,spain,2000-09-25,australia,2000092525,Group B,200025
3,Ignacio Rodriguez,22.0,3,5,1,3,2,2,1,2,7,3,0,3,2,9,spain,2000-09-25,australia,2000092525,Group B,200025
4,Ignacio De Miguel,21.0,0,2,0,0,0,0,1,2,1,0,0,0,5,0,spain,2000-09-25,australia,2000092525,Group B,200025
5,Raul Lopez,18.0,2,6,0,3,0,1,0,0,3,0,1,1,2,4,spain,2000-09-25,australia,2000092525,Group B,200025
6,Rodrigo De La Fuente,17.0,4,6,1,2,0,2,0,2,0,0,0,2,1,9,spain,2000-09-25,australia,2000092525,Group B,200025
7,Alfonso Reyes,15.0,1,4,0,0,0,0,2,2,0,0,0,0,2,2,spain,2000-09-25,australia,2000092525,Group B,200025
8,Jorge Garbajosa,13.0,2,6,0,2,2,2,1,2,1,1,0,0,2,6,spain,2000-09-25,australia,2000092525,Group B,200025
9,Roberto Duenas,9.0,1,3,0,0,0,0,0,1,0,0,0,0,3,2,spain,2000-09-25,australia,2000092525,Group B,200025
10,Totals,,29,57,12,23,10,17,8,17,18,6,1,9,25,80,spain,2000-09-25,australia,2000092525,Group B,200025
0,Shane Heal,37.0,7,13,4,8,8,9,0,0,4,0,1,2,3,26,australia,2000-09-25,spain,2000092525,Group B,200025
1,Mark Bradtke,36.0,4,8,0,0,3,5,4,8,1,0,3,3,2,11,australia,2000-09-25,spain,2000092525,Group B,200025
2,Andrew Gaze,35.0,7,11,4,7,4,4,0,4,2,1,0,0,5,22,australia,2000-09-25,spain,2000092525,Group B,200025
3,Sam MacKinnon,32.0,0,1,0,0,1,2,2,5,6,1,0,2,2,1,australia,2000-09-25,spain,2000092525,Group B,200025
4,Luc Longley,23.0,6,8,0,0,3,3,0,3,2,3,0,3,3,15,australia,2000-09-25,spain,2000092525,Group B,200025
5,Paul Rogers,21.0,5,5,0,0,2,4,1,5,1,0,0,1,2,12,australia,2000-09-25,spain,2000092525,Group B,200025
6,Jason Smith,13.0,1,3,0,2,0,0,1,3,1,1,0,2,3,2,australia,2000-09-25,spain,2000092525,Group B,200025
7,Ricky Grace,3.0,0,0,0,0,2,2,0,0,0,0,1,1,0,2,australia,2000-09-25,spain,2000092525,Group B,200025
8,Totals,,30,49,8,17,23,29,8,28,17,6,5,14,20,91,australia,2000-09-25,spain,2000092525,Group B,200025
