,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Kevin Garnett,25.0,8,14,0,0,3,4,5,11,5,1,0,1,3,19,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
1,Antonio McDyess,24.0,8,12,0,0,4,4,3,11,0,0,0,3,2,20,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
2,Jason Kidd,24.0,4,5,1,2,2,3,2,3,6,3,0,3,3,11,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
3,Allan Houston,20.0,2,6,2,3,2,2,1,1,4,0,0,2,3,8,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
4,Steve Smith,17.0,1,2,0,1,0,0,1,2,1,0,1,1,1,2,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
5,Gary Payton,16.0,2,3,0,0,0,0,0,1,3,1,0,5,3,4,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
6,Vin Baker,16.0,2,5,0,0,0,1,2,3,1,0,0,0,2,4,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
7,Shareef Abdur-Rahim,15.0,4,10,0,0,4,4,2,6,0,1,1,1,2,12,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
8,Tim Hardaway,15.0,4,8,3,7,0,0,3,3,0,0,0,3,3,11,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
9,Ray Allen,14.0,0,2,0,0,2,2,0,1,2,1,0,1,3,2,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
10,Vince Carter,13.0,6,7,1,2,0,0,0,1,0,2,0,0,3,13,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
11,Totals,,41,74,7,15,17,20,19,43,22,9,2,20,28,106,united states,2000-09-25,france,2000092528,Group A,200028,mens-olympics
0,Yann Bonato,30.0,4,9,0,2,7,7,0,3,2,1,0,3,1,15,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
1,Laurent Sciarra,29.0,6,7,2,3,7,7,1,1,4,3,0,4,1,21,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
2,Antoine Rigaudeau,26.0,4,12,3,8,3,6,0,2,3,0,1,3,4,14,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
3,Frederic Weis,26.0,1,4,0,0,1,2,1,2,0,1,0,1,3,3,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
4,Cyril Julian,22.0,4,5,0,0,0,0,2,2,1,0,0,0,3,8,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
5,Jim Bilba,20.0,1,3,0,1,2,2,1,2,1,1,0,0,3,4,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
6,Stephane Risacher,19.0,4,10,0,3,4,8,2,3,2,0,0,3,1,12,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
7,Makan Dioumassi,9.0,1,1,1,1,2,2,0,0,0,0,0,0,0,5,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
8,Crawford Palmer,7.0,2,4,0,0,4,4,1,2,0,0,0,0,2,8,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
9,Laurent Foirest,7.0,2,4,0,2,0,0,0,2,0,0,0,0,2,4,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
10,Thierry Gadou,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
11,Totals,,29,59,6,20,30,38,8,19,13,6,1,14,20,94,france,2000-09-25,united states,2000092528,Group A,200028,mens-olympics
