,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kevin Garnett,32.0,8,14,0,0,0,1,5,11,1,0,0,3,3,16,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
1,Vince Carter,27.0,4,15,1,3,6,8,4,6,1,1,0,0,1,15,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
2,Gary Payton,24.0,0,4,0,0,2,2,2,3,4,0,2,4,3,2,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
3,Jason Kidd,23.0,4,8,1,3,1,2,2,7,8,0,0,3,3,10,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
4,Alonzo Mourning,21.0,4,8,0,0,0,0,2,4,1,0,0,1,2,8,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
5,Vin Baker,13.0,6,6,0,0,1,1,0,2,1,0,0,1,1,13,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
6,Steve Smith,13.0,2,2,1,1,3,6,0,3,0,0,1,2,1,8,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
7,Allan Houston,13.0,2,4,1,3,0,0,0,2,0,0,0,1,1,5,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
8,Ray Allen,12.0,2,6,0,0,0,0,0,1,1,0,3,2,0,4,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
9,Antonio McDyess,8.0,1,1,0,0,0,0,3,4,1,0,0,0,4,2,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
10,Tim Hardaway,7.0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
11,Shareef Abdur-Rahim,6.0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
12,Totals,,34,69,4,10,13,20,18,44,19,1,6,17,23,85,united states,2000-09-28,russia,2000092835,Quarter-Finals,200035
0,Nikita Morgunov,32.0,3,8,1,2,4,6,1,6,0,0,0,3,2,11,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
1,Evgeny Pashutin,32.0,2,4,0,2,3,3,0,1,6,0,2,5,3,7,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
2,Alexandr Bashminov,31.0,4,7,0,0,4,8,1,5,2,0,0,3,5,12,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
3,Zakhar Pashutin,26.0,3,5,1,2,1,2,1,3,1,0,2,0,4,8,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
4,Andrei Kirilenko,21.0,3,6,0,0,5,7,3,4,0,1,0,1,3,11,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
5,Ruslan Avleev,17.0,3,5,0,0,0,0,0,1,1,0,0,1,0,6,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
6,Andrei Fetisov,15.0,3,8,2,5,1,4,1,1,0,0,0,1,0,9,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
7,Sergei Chikalkin,15.0,2,7,0,5,0,0,0,1,2,0,0,1,0,4,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
8,Sergey Bazarevitch,8.0,0,2,0,1,2,3,0,1,2,0,0,0,0,2,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
9,Sergey Panov,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
10,Totals,,23,52,4,17,20,33,7,23,14,2,4,15,17,70,russia,2000-09-28,united states,2000092835,Quarter-Finals,200035
